  x       Q^2   F2(Be)/F2(D)    stat.     syst.
-----------------------------------------------
 0.13     2.0     1.034		0.016	(1+0.7)%
 0.22     2.0     1.002		0.014
 0.30     2.0     1.010		0.014
 0.40     2.0     0.961		0.014
 0.50     2.0     0.956		0.014
 0.22     5.0	  1.000		0.015
 0.30     5.0	  0.993		0.015
 0.40	  5.0	  0.974		0.010
 0.50	  5.0	  0.961		0.010
 0.60	  5.0	  0.941		0.010
 0.70	  5.0	  0.911		0.010
 0.40	 10.0	  0.960		0.013
 0.50	 10.0	  0.943		0.018
 0.60	 10.0	  0.921		0.013
 0.70	 10.0	  0.932		0.018
 0.80	 10.0	  0.962		0.018
 0.60	 15.0	  0.901		0.015
