   X     Q^2 F2(Pb)EPS09/F2p Stheo       statEPS09   systEPS09
 ----------------------------------------------------------------
0.0125  1.80 0.759866E+00 0.197301E-01 0.121440E-01 0.294925E-01
0.0125  2.30 0.736715E+00 0.187758E-01 0.166837E-01 0.307331E-01
0.0125  2.80 0.780059E+00 0.190311E-01 0.168231E-01 0.309899E-01
0.0125  3.50 0.795076E+00 0.197203E-01 0.134002E-01 0.375204E-01
0.0125  4.50 0.813089E+00 0.201423E-01 0.117186E-01 0.432686E-01
0.0125  5.50 0.840156E+00 0.202364E-01 0.172573E-01 0.508635E-01
0.0125  7.00 0.850177E+00 0.208010E-01 0.548501E-01 0.639918E-01
0.0175  1.80 0.779465E+00 0.146426E-01 0.141721E-01 0.203724E-01
0.0175  2.30 0.800912E+00 0.137320E-01 0.134231E-01 0.161077E-01
0.0175  2.80 0.827997E+00 0.131839E-01 0.152999E-01 0.233999E-01
0.0175  3.50 0.857421E+00 0.138704E-01 0.127025E-01 0.244977E-01
0.0175  4.50 0.852108E+00 0.128192E-01 0.128137E-01 0.256273E-01
0.0175  5.50 0.847031E+00 0.124453E-01 0.119689E-01 0.303826E-01
0.0175  7.00 0.870779E+00 0.123099E-01 0.111282E-01 0.343118E-01
0.0175  9.00 0.904184E+00 0.131498E-01 0.466074E-01 0.559289E-01
0.0250  1.80 0.846619E+00 0.132919E-01 0.162638E-01 0.243956E-01
0.0250  2.30 0.844470E+00 0.120658E-01 0.118171E-01 0.181802E-01
0.0250  2.80 0.863298E+00 0.116973E-01 0.118886E-01 0.118886E-01
0.0250  3.50 0.884996E+00 0.109641E-01 0.828820E-02 0.119719E-01
0.0250  4.50 0.879690E+00 0.109735E-01 0.926965E-02 0.120505E-01
0.0250  5.50 0.896626E+00 0.105840E-01 0.111962E-01 0.130622E-01
0.0250  7.00 0.913409E+00 0.108021E-01 0.751005E-02 0.140813E-01
0.0250  9.00 0.927881E+00 0.104101E-01 0.945852E-02 0.198629E-01
