   X     Q^2  F2pbeps09S(F2pbeps09) F2Aeps09 S(F2Apbeps09) factoreps09 erfactoreps09 F2pbdssz S(F2pbdssz) F2Adssz S(F2Adssz) factordssz erfactordssz
0.0310 4.500 0.346961E+00 0.721561E-02 0.354788E+00 0.586911E-02 0.953810E+00 0.584243E-02 0.345276E+00 0.104352E-01 0.358837E+00 0.311571E-02 0.938468E+00 0.279125E-01
0.0500 8.500 0.383515E+00 0.651228E-02 0.386230E+00 0.487736E-02 0.956251E+00 0.625198E-02 0.376228E+00 0.929570E-02 0.382307E+00 0.257213E-02 0.947709E+00 0.241057E-01
0.079013.600 0.381937E+00 0.543726E-02 0.381953E+00 0.375655E-02 0.944022E+00 0.636186E-02 0.377074E+00 0.108112E-01 0.378044E+00 0.340932E-02 0.941639E+00 0.271249E-01
0.123018.100 0.344330E+00 0.546405E-02 0.346837E+00 0.504601E-02 0.909025E+00 0.609844E-02 0.347970E+00 0.107254E-01 0.347335E+00 0.406486E-02 0.917318E+00 0.278217E-01
0.173021.300 0.302262E+00 0.504007E-02 0.306088E+00 0.483102E-02 0.871734E+00 0.647723E-02 0.305859E+00 0.922459E-02 0.305611E+00 0.421128E-02 0.883486E+00 0.256482E-01
0.244024.700 0.242112E+00 0.381497E-02 0.246705E+00 0.365941E-02 0.824367E+00 0.733395E-02 0.244799E+00 0.726460E-02 0.245568E+00 0.414695E-02 0.837373E+00 0.229353E-01
0.342030.000 0.161099E+00 0.297404E-02 0.166826E+00 0.240642E-02 0.768769E+00 0.498908E-02 0.165937E+00 0.514634E-02 0.167465E+00 0.354677E-02 0.788834E+00 0.218076E-01
0.443034.400 0.927298E-01 0.226218E-02 0.978384E-01 0.170953E-02 0.721618E+00 0.696277E-02 0.990111E-01 0.309417E-02 0.100576E+00 0.242223E-02 0.749523E+00 0.210184E-01
0.563040.400 0.391298E-01 0.132677E-02 0.422657E-01 0.989710E-03 0.665059E+00 0.999429E-02 0.440241E-01 0.104947E-02 0.452356E-01 0.954740E-03 0.699118E+00 0.182234E-01
0.0150 4.500 0.352907E+00 0.966026E-02 0.366346E+00 0.912779E-02 0.948530E+00 0.740299E-02 0.351789E+00 0.162912E-01 0.376775E+00 0.537226E-02 0.919351E+00 0.394253E-01
0.0310 3.300 0.325877E+00 0.765443E-02 0.334338E+00 0.614850E-02 0.950533E+00 0.646486E-02 0.325841E+00 0.108374E-01 0.339830E+00 0.322290E-02 0.935068E+00 0.307122E-01
0.0500 6.400 0.370228E+00 0.645833E-02 0.372776E+00 0.490167E-02 0.956640E+00 0.701167E-02 0.364681E+00 0.956552E-02 0.371116E+00 0.264476E-02 0.946521E+00 0.255949E-01
0.0790 8.500 0.371320E+00 0.572672E-02 0.372725E+00 0.383922E-02 0.941548E+00 0.771212E-02 0.368202E+00 0.111461E-01 0.369477E+00 0.345996E-02 0.941850E+00 0.286841E-01
0.123011.000 0.344087E+00 0.574539E-02 0.345202E+00 0.463267E-02 0.914845E+00 0.571682E-02 0.347515E+00 0.111233E-01 0.346945E+00 0.412409E-02 0.919315E+00 0.289636E-01
0.173016.100 0.304109E+00 0.498927E-02 0.307820E+00 0.502024E-02 0.873535E+00 0.526748E-02 0.308538E+00 0.943637E-02 0.308275E+00 0.424872E-02 0.884947E+00 0.260795E-01
0.243019.300 0.247608E+00 0.433038E-02 0.251410E+00 0.367503E-02 0.828911E+00 0.860856E-02 0.249634E+00 0.745616E-02 0.250381E+00 0.420035E-02 0.839127E+00 0.231812E-01
0.343025.800 0.163057E+00 0.301150E-02 0.168879E+00 0.242996E-02 0.768786E+00 0.508656E-02 0.167896E+00 0.522511E-02 0.169440E+00 0.359032E-02 0.788984E+00 0.218934E-01
0.444036.000 0.915454E-01 0.224690E-02 0.966162E-01 0.169879E-02 0.720953E+00 0.699097E-02 0.978133E-01 0.305254E-02 0.993702E-01 0.239489E-02 0.748966E+00 0.209823E-01
0.612046.400 0.251502E-01 0.928204E-03 0.273843E-01 0.677280E-03 0.642591E+00 0.109374E-01 0.284252E-01 0.694571E-03 0.293518E-01 0.693056E-03 0.677583E+00 0.180252E-01
