  x       Q^2    y     F2(Pb)/F2(C)    stat.    syst.
------------------------------------------------------
0.0125	  3.4	0.73	  0.889       0.046     0.050
0.0175	  4.5	0.69	  0.921       0.031     0.030
0.025	  6.1	0.66	  0.938       0.018     0.017
0.035	  8.0	0.62	  0.962       0.016     0.012
0.045	  9.8	0.59	  0.982       0.017     0.012
0.055	 11.6	0.57	  1.014       0.017     0.011
0.07	 13.9	0.54	  1.028       0.013     0.011
0.09	 16.9	0.51	  1.010       0.014     0.010
0.125	 21.4	0.47	  1.014       0.011     0.008
0.175	 27.5	0.43	  1.021       0.013     0.010
0.25	 35.5	0.39	  0.996       0.012     0.010
0.35	 45.3	0.35	  0.973       0.021     0.015
0.45	 53.6	0.32	  0.970       0.036     0.024
0.55	 60.0	0.30	  0.894       0.057     0.041
0.7	 66.1	0.26      0.810       0.069     0.088
