   X     Q^2 F2(Pb)EPS09/F2p  Stheo     statEPS09   systEPS09
 -----------------------------------------------------------
0.1300  2.00 0.950128E+00 0.121812E-01 0.128769E-01 (1+0.7)%
0.2200  2.00 0.867480E+00 0.121915E-01 0.120364E-01
0.3000  2.00 0.808716E+00 0.993850E-02 0.112769E-01
0.4000  2.00 0.724969E+00 0.933373E-02 0.104743E-01
0.5000  2.00 0.645004E+00 0.121231E-01 0.763729E-02
0.2200  5.00 0.847793E+00 0.984543E-02 0.101229E-01
0.3000  5.00 0.797034E+00 0.115293E-01 0.119317E-01
0.4000  5.00 0.718379E+00 0.979356E-02 0.663119E-02
0.5000  5.00 0.636066E+00 0.126534E-01 0.684678E-02
0.4000 10.00 0.705225E+00 0.964846E-02 0.950044E-02
0.5000 10.00 0.636947E+00 0.127115E-01 0.122099E-01
0.7000 10.00 0.515995E+00 0.154157E-01 0.986717E-02
0.6000 15.00 0.573437E+00 0.157792E-01 0.997282E-02
