  x       Q^2    y     F2(Sn)/F2(C)    stat.    syst.
------------------------------------------------------
0.0125	  3.2	0.71	  0.883       0.011     0.040
0.0175	  4.3	0.68	  0.927       0.009     0.025
0.025	  5.6	0.62	  0.960       0.006     0.013
0.035	  7.3	0.56	  0.985       0.006     0.006
0.045	  8.6	0.50	  0.988       0.006     0.004
0.055	  9.8	0.45	  1.010       0.006     0.002
0.07	 11.2	0.40	  1.007       0.005     0.007
0.09	 12.7	0.33	  1.010       0.005     0.003
0.125	 14.8	0.28	  1.012       0.004     0.003
0.175	 17.3	0.20	  1.012       0.005     0.004
0.25	 20.5	0.16	  1.009       0.005     0.008
0.35	 25.1	0.15	  1.007       0.007     0.011
0.45	 32.0	0.15	  0.980       0.012     0.012
0.55	 43.9	0.16	  0.999       0.028     0.042
0.7	 56.8	0.24      0.866       0.038     0.060
