   X     Q^2  F2pbeps09S(F2pbeps09) F2Aeps09 S(F2Apbeps09) factoreps09 erfactoreps09 F2pbdssz S(F2pbdssz) F2Adssz S(F2Adssz) factordssz erfactordssz
0.0250 1.706 0.275814E+00 0.735952E-02 0.313386E+00 0.464077E-02 0.860767E+00 0.216535E-01 0.276172E+00 0.128921E-01 0.314185E+00 0.274097E-02 0.859690E+00 0.401493E-01
0.0250 1.952 0.285057E+00 0.720028E-02 0.322157E+00 0.470541E-02 0.865549E+00 0.207042E-01 0.285588E+00 0.127109E-01 0.322907E+00 0.266657E-02 0.865146E+00 0.384687E-01
0.0250 2.290 0.296519E+00 0.699820E-02 0.332723E+00 0.513696E-02 0.871914E+00 0.196087E-01 0.296542E+00 0.125771E-01 0.333264E+00 0.261501E-02 0.870567E+00 0.368426E-01
0.0250 2.754 0.309910E+00 0.691892E-02 0.345303E+00 0.503232E-02 0.878254E+00 0.186513E-01 0.309500E+00 0.123654E-01 0.345341E+00 0.255405E-02 0.876996E+00 0.349043E-01
0.0250 3.250 0.322140E+00 0.684981E-02 0.356483E+00 0.485324E-02 0.884420E+00 0.178056E-01 0.321145E+00 0.121818E-01 0.356200E+00 0.251458E-02 0.882391E+00 0.332930E-01
0.0250 3.837 0.334741E+00 0.666573E-02 0.367935E+00 0.467923E-02 0.890552E+00 0.163024E-01 0.332811E+00 0.120286E-01 0.367160E+00 0.249331E-02 0.887284E+00 0.318549E-01
0.0250 4.584 0.348240E+00 0.667853E-02 0.380330E+00 0.475625E-02 0.896423E+00 0.160085E-01 0.345615E+00 0.118215E-01 0.379054E+00 0.247722E-02 0.892660E+00 0.302783E-01
0.0250 5.478 0.362059E+00 0.638410E-02 0.392720E+00 0.448749E-02 0.902745E+00 0.153890E-01 0.358320E+00 0.116649E-01 0.390998E+00 0.248177E-02 0.897358E+00 0.289292E-01
0.0250 6.627 0.376488E+00 0.674933E-02 0.406275E+00 0.484228E-02 0.907560E+00 0.148224E-01 0.371957E+00 0.115011E-01 0.403828E+00 0.250197E-02 0.902070E+00 0.275779E-01
0.0250 7.918 0.390456E+00 0.699340E-02 0.418859E+00 0.537213E-02 0.913095E+00 0.148141E-01 0.384799E+00 0.113449E-01 0.415888E+00 0.253266E-02 0.906291E+00 0.263805E-01
0.0350 1.706 0.286626E+00 0.857464E-02 0.314244E+00 0.491450E-02 0.887352E+00 0.209253E-01 0.287668E+00 0.113777E-01 0.315215E+00 0.262052E-02 0.887835E+00 0.354362E-01
0.0350 1.964 0.295980E+00 0.825627E-02 0.322563E+00 0.480518E-02 0.892696E+00 0.196726E-01 0.296506E+00 0.111225E-01 0.323289E+00 0.251447E-02 0.892274E+00 0.337709E-01
0.0350 2.304 0.306012E+00 0.829605E-02 0.331888E+00 0.501148E-02 0.897010E+00 0.189154E-01 0.305984E+00 0.109306E-01 0.332107E+00 0.243663E-02 0.896336E+00 0.323071E-01
0.0350 2.754 0.316917E+00 0.843693E-02 0.341996E+00 0.491117E-02 0.901502E+00 0.184750E-01 0.316611E+00 0.106634E-01 0.341861E+00 0.234223E-02 0.900986E+00 0.306213E-01
0.0350 3.270 0.327647E+00 0.825603E-02 0.351767E+00 0.461962E-02 0.906120E+00 0.182185E-01 0.326665E+00 0.104205E-01 0.351101E+00 0.226518E-02 0.905120E+00 0.291435E-01
0.0350 3.837 0.337716E+00 0.787132E-02 0.360624E+00 0.410614E-02 0.911024E+00 0.167224E-01 0.335899E+00 0.102221E-01 0.359633E+00 0.220901E-02 0.908617E+00 0.279220E-01
0.0350 4.584 0.348897E+00 0.739874E-02 0.370891E+00 0.401921E-02 0.915141E+00 0.156920E-01 0.346264E+00 0.996401E-02 0.369124E+00 0.214575E-02 0.912581E+00 0.265340E-01
0.0350 5.478 0.360161E+00 0.718331E-02 0.380481E+00 0.378721E-02 0.920898E+00 0.160709E-01 0.356459E+00 0.975490E-02 0.378566E+00 0.210321E-02 0.916040E+00 0.253505E-01
0.0350 6.750 0.373801E+00 0.714057E-02 0.392511E+00 0.386072E-02 0.926514E+00 0.150437E-01 0.368362E+00 0.950695E-02 0.389590E+00 0.206339E-02 0.919878E+00 0.240361E-01
0.0350 8.165 0.385859E+00 0.726672E-02 0.403437E+00 0.407155E-02 0.930539E+00 0.145677E-01 0.379183E+00 0.928037E-02 0.399610E+00 0.203726E-02 0.923197E+00 0.229059E-01
0.0350 9.697 0.397119E+00 0.732852E-02 0.414282E+00 0.420413E-02 0.932674E+00 0.142798E-01 0.388839E+00 0.909036E-02 0.408580E+00 0.202397E-02 0.925971E+00 0.219757E-01
0.035011.440 0.407376E+00 0.753652E-02 0.423360E+00 0.466665E-02 0.936295E+00 0.136482E-01 0.397966E+00 0.892491E-02 0.417107E+00 0.201992E-02 0.928379E+00 0.211662E-01
0.0450 1.706 0.297134E+00 0.961122E-02 0.317357E+00 0.585503E-02 0.905828E+00 0.205651E-01 0.300181E+00 0.111573E-01 0.318802E+00 0.278925E-02 0.910970E+00 0.341197E-01
0.0450 1.964 0.306920E+00 0.899228E-02 0.324878E+00 0.518021E-02 0.913885E+00 0.197851E-01 0.308099E+00 0.109100E-01 0.325999E+00 0.268629E-02 0.914241E+00 0.326417E-01
0.0450 2.304 0.315609E+00 0.929562E-02 0.333057E+00 0.496812E-02 0.916527E+00 0.200317E-01 0.316372E+00 0.107226E-01 0.333630E+00 0.260983E-02 0.917162E+00 0.313633E-01
0.0450 2.754 0.325002E+00 0.898785E-02 0.341667E+00 0.446422E-02 0.919849E+00 0.190663E-01 0.325464E+00 0.104731E-01 0.341924E+00 0.251835E-02 0.920463E+00 0.299149E-01
0.0450 3.230 0.333510E+00 0.889854E-02 0.349448E+00 0.418758E-02 0.922760E+00 0.194693E-01 0.333334E+00 0.102626E-01 0.349102E+00 0.244713E-02 0.923186E+00 0.287364E-01
0.0450 3.813 0.342143E+00 0.799890E-02 0.357198E+00 0.376645E-02 0.925970E+00 0.173088E-01 0.341289E+00 0.100777E-01 0.356404E+00 0.238959E-02 0.925713E+00 0.276692E-01
0.0450 4.584 0.351587E+00 0.731164E-02 0.365893E+00 0.376953E-02 0.928777E+00 0.154774E-01 0.350074E+00 0.983962E-02 0.364401E+00 0.232238E-02 0.928567E+00 0.264617E-01
0.0450 5.478 0.360824E+00 0.705390E-02 0.373874E+00 0.355003E-02 0.932720E+00 0.158739E-01 0.358346E+00 0.965311E-02 0.372008E+00 0.227573E-02 0.930959E+00 0.254679E-01
0.0450 6.750 0.373272E+00 0.668175E-02 0.383775E+00 0.336680E-02 0.939904E+00 0.146431E-01 0.367929E+00 0.943280E-02 0.380820E+00 0.222725E-02 0.933640E+00 0.243615E-01
0.0450 8.266 0.383509E+00 0.666814E-02 0.393079E+00 0.348783E-02 0.942752E+00 0.145529E-01 0.377108E+00 0.922025E-02 0.389265E+00 0.218683E-02 0.936101E+00 0.233495E-01
0.0450 9.877 0.392655E+00 0.703594E-02 0.400947E+00 0.372494E-02 0.946236E+00 0.147480E-01 0.385037E+00 0.904422E-02 0.396580E+00 0.215910E-02 0.938097E+00 0.225300E-01
0.045012.096 0.402780E+00 0.746520E-02 0.410093E+00 0.397076E-02 0.948950E+00 0.147149E-01 0.393863E+00 0.886189E-02 0.404782E+00 0.213510E-02 0.940116E+00 0.216848E-01
0.0550 1.716 0.308019E+00 0.101926E-01 0.321326E+00 0.685947E-02 0.922562E+00 0.220797E-01 0.309283E+00 0.113188E-01 0.323065E+00 0.299562E-02 0.921360E+00 0.338540E-01
0.0550 1.964 0.316543E+00 0.951588E-02 0.327874E+00 0.612992E-02 0.928900E+00 0.213547E-01 0.316120E+00 0.110951E-01 0.329182E+00 0.290925E-02 0.923973E+00 0.325763E-01
0.0550 2.290 0.323965E+00 0.925007E-02 0.334697E+00 0.554765E-02 0.931001E+00 0.204573E-01 0.323123E+00 0.109239E-01 0.335537E+00 0.284624E-02 0.926254E+00 0.314745E-01
0.0550 2.754 0.332725E+00 0.855676E-02 0.342503E+00 0.474557E-02 0.934028E+00 0.185409E-01 0.331248E+00 0.106892E-01 0.342846E+00 0.276763E-02 0.928952E+00 0.301587E-01
0.0550 3.270 0.340582E+00 0.846921E-02 0.349567E+00 0.413659E-02 0.936446E+00 0.187977E-01 0.338441E+00 0.104897E-01 0.349325E+00 0.270672E-02 0.931206E+00 0.290658E-01
0.0550 3.813 0.347353E+00 0.770784E-02 0.355545E+00 0.381373E-02 0.938750E+00 0.174034E-01 0.344620E+00 0.103371E-01 0.354921E+00 0.266482E-02 0.933003E+00 0.282103E-01
0.0550 4.584 0.355209E+00 0.703279E-02 0.362761E+00 0.372029E-02 0.940599E+00 0.154714E-01 0.351894E+00 0.101305E-01 0.361463E+00 0.261216E-02 0.935163E+00 0.271746E-01
0.0550 5.478 0.362891E+00 0.654743E-02 0.369648E+00 0.329594E-02 0.942780E+00 0.150222E-01 0.358668E+00 0.996967E-02 0.367622E+00 0.257670E-02 0.936944E+00 0.263228E-01
0.0550 6.750 0.373024E+00 0.625457E-02 0.377598E+00 0.311375E-02 0.948442E+00 0.145478E-01 0.366442E+00 0.978175E-02 0.374695E+00 0.253963E-02 0.938923E+00 0.253757E-01
0.0550 8.266 0.380922E+00 0.623788E-02 0.384933E+00 0.342508E-02 0.949856E+00 0.146482E-01 0.373830E+00 0.960268E-02 0.381426E+00 0.250861E-02 0.940741E+00 0.245102E-01
0.0550 9.938 0.388456E+00 0.629487E-02 0.391270E+00 0.365543E-02 0.952787E+00 0.138836E-01 0.380390E+00 0.944861E-02 0.387425E+00 0.248522E-02 0.942265E+00 0.237797E-01
0.055012.320 0.397024E+00 0.659337E-02 0.399059E+00 0.386930E-02 0.954636E+00 0.148717E-01 0.387836E+00 0.928704E-02 0.394276E+00 0.246474E-02 0.943855E+00 0.230095E-01
0.055015.080 0.405471E+00 0.681758E-02 0.406010E+00 0.413559E-02 0.958122E+00 0.145427E-01 0.394725E+00 0.912516E-02 0.400588E+00 0.244688E-02 0.945353E+00 0.222953E-01
0.0700 1.716 0.320973E+00 0.929622E-02 0.325379E+00 0.836033E-02 0.942169E+00 0.241635E-01 0.321249E+00 0.120554E-01 0.328348E+00 0.340806E-02 0.934451E+00 0.348350E-01
0.0700 1.976 0.327127E+00 0.879653E-02 0.331200E+00 0.786797E-02 0.942848E+00 0.232247E-01 0.327094E+00 0.118512E-01 0.333574E+00 0.334495E-02 0.936042E+00 0.337019E-01
0.0700 2.304 0.333520E+00 0.782640E-02 0.336750E+00 0.669427E-02 0.944900E+00 0.212206E-01 0.332659E+00 0.116994E-01 0.338613E+00 0.330434E-02 0.937276E+00 0.327686E-01
0.0700 2.737 0.340383E+00 0.750203E-02 0.342740E+00 0.582753E-02 0.946906E+00 0.201699E-01 0.338557E+00 0.115064E-01 0.343908E+00 0.325614E-02 0.938627E+00 0.317291E-01
0.0700 3.270 0.346764E+00 0.721129E-02 0.348453E+00 0.483327E-02 0.948265E+00 0.182160E-01 0.344231E+00 0.113232E-01 0.349007E+00 0.321578E-02 0.939844E+00 0.307679E-01
0.0700 3.837 0.352366E+00 0.705857E-02 0.353162E+00 0.438419E-02 0.950261E+00 0.173379E-01 0.349031E+00 0.111815E-01 0.353340E+00 0.318954E-02 0.940792E+00 0.300123E-01
0.0700 4.556 0.357976E+00 0.656089E-02 0.358210E+00 0.402909E-02 0.951302E+00 0.163068E-01 0.354005E+00 0.110125E-01 0.357804E+00 0.315891E-02 0.941819E+00 0.291953E-01
0.0700 5.478 0.363764E+00 0.593446E-02 0.363671E+00 0.366255E-02 0.951687E+00 0.145757E-01 0.359070E+00 0.108654E-01 0.362396E+00 0.313788E-02 0.942713E+00 0.284468E-01
0.0700 6.709 0.369940E+00 0.590792E-02 0.369207E+00 0.339598E-02 0.952854E+00 0.151746E-01 0.364448E+00 0.107053E-01 0.367275E+00 0.311722E-02 0.943645E+00 0.276652E-01
0.0700 8.266 0.375055E+00 0.595886E-02 0.374541E+00 0.345149E-02 0.951832E+00 0.153462E-01 0.369811E+00 0.105440E-01 0.372151E+00 0.309794E-02 0.944550E+00 0.269034E-01
0.0700 9.877 0.380254E+00 0.542835E-02 0.379200E+00 0.367260E-02 0.952839E+00 0.128506E-01 0.374242E+00 0.104144E-01 0.376193E+00 0.308447E-02 0.945272E+00 0.262982E-01
0.070012.320 0.386389E+00 0.536247E-02 0.384632E+00 0.420712E-02 0.954182E+00 0.133884E-01 0.379553E+00 0.102670E-01 0.381066E+00 0.307066E-02 0.946072E+00 0.256088E-01
0.070015.650 0.393073E+00 0.557955E-02 0.390488E+00 0.426601E-02 0.955778E+00 0.134270E-01 0.385134E+00 0.101042E-01 0.386176E+00 0.305689E-02 0.946929E+00 0.248858E-01
0.070019.520 0.398754E+00 0.550232E-02 0.396140E+00 0.473549E-02 0.955461E+00 0.134772E-01 0.390034E+00 0.996540E-02 0.390682E+00 0.304677E-02 0.947623E+00 0.242751E-01
0.0900 1.703 0.328888E+00 0.858692E-02 0.328604E+00 0.816330E-02 0.947096E+00 0.247870E-01 0.332198E+00 0.129913E-01 0.333347E+00 0.397375E-02 0.943016E+00 0.362035E-01
0.0900 1.935 0.332831E+00 0.787236E-02 0.332694E+00 0.727841E-02 0.945864E+00 0.218212E-01 0.336032E+00 0.128082E-01 0.336832E+00 0.393877E-02 0.943228E+00 0.352973E-01
0.0900 2.363 0.338760E+00 0.723842E-02 0.338155E+00 0.613496E-02 0.946004E+00 0.181156E-01 0.341047E+00 0.125802E-01 0.341417E+00 0.390306E-02 0.943292E+00 0.341664E-01
0.0900 2.760 0.342176E+00 0.688873E-02 0.342010E+00 0.542186E-02 0.943908E+00 0.177429E-01 0.344543E+00 0.123958E-01 0.344592E+00 0.387496E-02 0.943318E+00 0.333294E-01
0.0900 3.242 0.346104E+00 0.671124E-02 0.345642E+00 0.479600E-02 0.943860E+00 0.163819E-01 0.347834E+00 0.122206E-01 0.347583E+00 0.385134E-02 0.943281E+00 0.325507E-01
0.0900 3.808 0.350043E+00 0.659249E-02 0.348767E+00 0.480839E-02 0.945259E+00 0.157755E-01 0.350853E+00 0.120661E-01 0.350337E+00 0.383401E-02 0.943199E+00 0.318639E-01
0.0900 4.573 0.354004E+00 0.601888E-02 0.352221E+00 0.449063E-02 0.945740E+00 0.145651E-01 0.354065E+00 0.118795E-01 0.353249E+00 0.381183E-02 0.943150E+00 0.310896E-01
0.0900 5.461 0.357407E+00 0.576629E-02 0.355583E+00 0.434758E-02 0.945046E+00 0.136598E-01 0.356954E+00 0.117254E-01 0.355889E+00 0.379697E-02 0.943037E+00 0.304382E-01
0.0900 6.743 0.361156E+00 0.555123E-02 0.359109E+00 0.421414E-02 0.944762E+00 0.136702E-01 0.360198E+00 0.115467E-01 0.358855E+00 0.377999E-02 0.942921E+00 0.297048E-01
0.0900 8.234 0.363967E+00 0.567312E-02 0.362498E+00 0.374124E-02 0.942506E+00 0.126563E-01 0.363120E+00 0.113828E-01 0.361530E+00 0.376464E-02 0.942831E+00 0.290478E-01
0.0900 9.944 0.367132E+00 0.574398E-02 0.365359E+00 0.372807E-02 0.942651E+00 0.120781E-01 0.365757E+00 0.112363E-01 0.363952E+00 0.375079E-02 0.942751E+00 0.284662E-01
0.090012.340 0.370777E+00 0.560389E-02 0.368503E+00 0.391766E-02 0.943260E+00 0.126748E-01 0.368639E+00 0.110833E-01 0.366613E+00 0.373748E-02 0.942654E+00 0.278575E-01
0.090015.580 0.374262E+00 0.555359E-02 0.371873E+00 0.403410E-02 0.942879E+00 0.116778E-01 0.371624E+00 0.109161E-01 0.369364E+00 0.372182E-02 0.942593E+00 0.272149E-01
0.090020.110 0.377566E+00 0.574717E-02 0.375487E+00 0.424311E-02 0.941437E+00 0.125009E-01 0.374674E+00 0.107482E-01 0.372182E+00 0.370718E-02 0.942521E+00 0.265739E-01
0.090024.700 0.380281E+00 0.590239E-02 0.377767E+00 0.433029E-02 0.942041E+00 0.128620E-01 0.376920E+00 0.106220E-01 0.374267E+00 0.369474E-02 0.942451E+00 0.261004E-01
0.1250 2.310 0.334282E+00 0.721716E-02 0.334662E+00 0.509397E-02 0.926626E+00 0.149680E-01 0.342336E+00 0.129206E-01 0.338878E+00 0.468821E-02 0.937148E+00 0.342247E-01
0.1250 2.760 0.335548E+00 0.716172E-02 0.336570E+00 0.431226E-02 0.923185E+00 0.144805E-01 0.343494E+00 0.126589E-01 0.340036E+00 0.465049E-02 0.935413E+00 0.333356E-01
0.1250 3.250 0.337191E+00 0.676043E-02 0.337957E+00 0.379038E-02 0.922470E+00 0.138531E-01 0.344282E+00 0.124376E-01 0.340829E+00 0.461890E-02 0.933931E+00 0.326060E-01
0.1250 3.830 0.337734E+00 0.641563E-02 0.339174E+00 0.410086E-02 0.919305E+00 0.146625E-01 0.344870E+00 0.122363E-01 0.341428E+00 0.459066E-02 0.932530E+00 0.319545E-01
0.1250 4.550 0.338543E+00 0.587612E-02 0.340131E+00 0.430851E-02 0.917610E+00 0.155646E-01 0.345331E+00 0.120239E-01 0.341897E+00 0.455943E-02 0.931173E+00 0.312890E-01
0.1250 5.460 0.339581E+00 0.595905E-02 0.341106E+00 0.425129E-02 0.916519E+00 0.163293E-01 0.345685E+00 0.118263E-01 0.342265E+00 0.453075E-02 0.929832E+00 0.306743E-01
0.1250 6.670 0.340493E+00 0.585732E-02 0.341775E+00 0.410240E-02 0.915897E+00 0.162553E-01 0.345959E+00 0.116185E-01 0.342553E+00 0.449968E-02 0.928485E+00 0.300404E-01
0.1250 8.190 0.341491E+00 0.586638E-02 0.341486E+00 0.385276E-02 0.918147E+00 0.154904E-01 0.346159E+00 0.114160E-01 0.342766E+00 0.446849E-02 0.927220E+00 0.294305E-01
0.1250 9.880 0.342374E+00 0.576795E-02 0.342085E+00 0.361596E-02 0.917903E+00 0.148931E-01 0.346301E+00 0.112423E-01 0.342920E+00 0.444064E-02 0.926172E+00 0.289107E-01
0.125012.200 0.343003E+00 0.549985E-02 0.342239E+00 0.342220E-02 0.918142E+00 0.141961E-01 0.346412E+00 0.110622E-01 0.343045E+00 0.441119E-02 0.925091E+00 0.283751E-01
0.125015.600 0.343603E+00 0.498156E-02 0.342769E+00 0.308036E-02 0.917227E+00 0.122973E-01 0.346495E+00 0.108570E-01 0.343140E+00 0.437657E-02 0.923945E+00 0.277708E-01
0.125019.900 0.342662E+00 0.539456E-02 0.343152E+00 0.310639E-02 0.912704E+00 0.119697E-01 0.346505E+00 0.106693E-01 0.343163E+00 0.434419E-02 0.922910E+00 0.272230E-01
0.125025.900 0.343261E+00 0.535001E-02 0.343419E+00 0.329743E-02 0.912650E+00 0.121907E-01 0.346403E+00 0.104823E-01 0.343075E+00 0.431013E-02 0.921925E+00 0.266861E-01
0.125033.900 0.343014E+00 0.473373E-02 0.343630E+00 0.322432E-02 0.910555E+00 0.113002E-01 0.346163E+00 0.103018E-01 0.342851E+00 0.427669E-02 0.921002E+00 0.261776E-01
0.1750 3.260 0.317315E+00 0.554902E-02 0.319604E+00 0.383664E-02 0.889315E+00 0.164172E-01 0.324331E+00 0.110165E-01 0.322203E+00 0.493366E-02 0.901646E+00 0.288683E-01
0.1750 3.808 0.316483E+00 0.561545E-02 0.318718E+00 0.385911E-02 0.887757E+00 0.130084E-01 0.322655E+00 0.108174E-01 0.320680E+00 0.488905E-02 0.899536E+00 0.283712E-01
0.1750 4.702 0.315135E+00 0.632223E-02 0.317737E+00 0.396519E-02 0.884605E+00 0.144464E-01 0.320291E+00 0.105574E-01 0.318505E+00 0.482918E-02 0.896911E+00 0.277367E-01
0.1750 5.461 0.314229E+00 0.600088E-02 0.316684E+00 0.411610E-02 0.883621E+00 0.147600E-01 0.318600E+00 0.103899E-01 0.316936E+00 0.478957E-02 0.895201E+00 0.273382E-01
0.1750 6.743 0.312812E+00 0.518810E-02 0.314862E+00 0.356025E-02 0.882944E+00 0.125357E-01 0.316224E+00 0.101676E-01 0.314717E+00 0.473600E-02 0.892988E+00 0.268174E-01
0.1750 8.144 0.310939E+00 0.492228E-02 0.313160E+00 0.347233E-02 0.880980E+00 0.134406E-01 0.314125E+00 0.997949E-02 0.312744E+00 0.468956E-02 0.891192E+00 0.263820E-01
0.1750 9.944 0.307396E+00 0.504760E-02 0.311468E+00 0.330370E-02 0.874288E+00 0.132414E-01 0.311961E+00 0.979240E-02 0.310699E+00 0.464173E-02 0.889465E+00 0.259526E-01
0.175012.340 0.305745E+00 0.459320E-02 0.309592E+00 0.338020E-02 0.873493E+00 0.139853E-01 0.309676E+00 0.960560E-02 0.308532E+00 0.459275E-02 0.887764E+00 0.255309E-01
0.175015.760 0.302710E+00 0.491056E-02 0.307487E+00 0.334995E-02 0.869342E+00 0.129229E-01 0.307164E+00 0.940255E-02 0.306137E+00 0.453884E-02 0.886023E+00 0.250723E-01
0.175020.110 0.301082E+00 0.512046E-02 0.305479E+00 0.385039E-02 0.869103E+00 0.160617E-01 0.304744E+00 0.921515E-02 0.303822E+00 0.448781E-02 0.884469E+00 0.246540E-01
0.175026.400 0.298874E+00 0.477087E-02 0.303238E+00 0.389966E-02 0.867863E+00 0.157371E-01 0.302125E+00 0.902281E-02 0.301308E+00 0.443355E-02 0.882925E+00 0.242326E-01
0.175034.840 0.296766E+00 0.451284E-02 0.300663E+00 0.418005E-02 0.867982E+00 0.156410E-01 0.299483E+00 0.883848E-02 0.298760E+00 0.438029E-02 0.881509E+00 0.238364E-01
0.175045.980 0.294017E+00 0.405270E-02 0.296530E+00 0.426472E-02 0.870863E+00 0.154300E-01 0.296846E+00 0.866545E-02 0.296211E+00 0.432960E-02 0.880187E+00 0.234718E-01
0.2500 4.564 0.271875E+00 0.538384E-02 0.279277E+00 0.495640E-02 0.825048E+00 0.198580E-01 0.273325E+00 0.857203E-02 0.275726E+00 0.471485E-02 0.840129E+00 0.235290E-01
0.2500 6.812 0.261872E+00 0.438736E-02 0.269287E+00 0.518486E-02 0.820948E+00 0.169562E-01 0.264247E+00 0.816597E-02 0.266865E+00 0.456520E-02 0.835911E+00 0.229271E-01
0.2500 8.185 0.257239E+00 0.455033E-02 0.264942E+00 0.498693E-02 0.818365E+00 0.167313E-01 0.260327E+00 0.799493E-02 0.263023E+00 0.450114E-02 0.834232E+00 0.226787E-01
0.250010.050 0.253540E+00 0.491664E-02 0.260132E+00 0.385305E-02 0.820193E+00 0.173738E-01 0.256133E+00 0.781441E-02 0.258902E+00 0.443246E-02 0.832520E+00 0.224196E-01
0.250012.350 0.249694E+00 0.508324E-02 0.256470E+00 0.332587E-02 0.818069E+00 0.157396E-01 0.252119E+00 0.764490E-02 0.254948E+00 0.436688E-02 0.830941E+00 0.221808E-01
0.250015.770 0.245422E+00 0.452111E-02 0.252157E+00 0.337788E-02 0.816519E+00 0.142068E-01 0.247576E+00 0.745307E-02 0.250465E+00 0.429248E-02 0.829250E+00 0.219067E-01
0.250020.260 0.241280E+00 0.419379E-02 0.247937E+00 0.340721E-02 0.815208E+00 0.109011E-01 0.243181E+00 0.726991E-02 0.246116E+00 0.422024E-02 0.827710E+00 0.216481E-01
