   X     Q^2  F2pbeps09S(F2pbeps09) F2Aeps09 S(F2Apbeps09) factoreps09 erfactoreps09 F2pbdssz S(F2pbdssz) F2Adssz S(F2Adssz) factordssz erfactordssz
0.0055 1.708 0.257297E+00 0.227324E-01 0.339726E+00 0.198032E-01 0.746678E+00 0.595474E-01 0.261699E+00 0.276820E-01 0.350598E+00 0.598329E-02 0.735903E+00 0.772509E-01
0.0055 1.906 0.269708E+00 0.230483E-01 0.351245E+00 0.206017E-01 0.757345E+00 0.582280E-01 0.274243E+00 0.275621E-01 0.362272E+00 0.594952E-02 0.746639E+00 0.744124E-01
0.0085 1.697 0.258665E+00 0.166086E-01 0.327835E+00 0.129980E-01 0.776987E+00 0.469620E-01 0.261455E+00 0.223070E-01 0.334504E+00 0.471718E-02 0.769708E+00 0.649591E-01
0.0085 1.967 0.273535E+00 0.166590E-01 0.341627E+00 0.136361E-01 0.788898E+00 0.452462E-01 0.276092E+00 0.222061E-01 0.348177E+00 0.468961E-02 0.781293E+00 0.620532E-01
0.0085 2.308 0.290874E+00 0.168060E-01 0.358310E+00 0.144895E-01 0.800295E+00 0.433198E-01 0.293045E+00 0.222644E-01 0.364646E+00 0.471163E-02 0.792258E+00 0.593410E-01
0.0085 2.673 0.307440E+00 0.170051E-01 0.373893E+00 0.153964E-01 0.811008E+00 0.418191E-01 0.309374E+00 0.222702E-01 0.380252E+00 0.473629E-02 0.802462E+00 0.568398E-01
0.0125 1.693 0.262363E+00 0.119016E-01 0.320143E+00 0.822878E-02 0.805935E+00 0.358919E-01 0.263729E+00 0.182839E-01 0.323506E+00 0.379920E-02 0.801707E+00 0.549537E-01
0.0125 1.949 0.274680E+00 0.117824E-01 0.331546E+00 0.850456E-02 0.815096E+00 0.346294E-01 0.275909E+00 0.182057E-01 0.334932E+00 0.377408E-02 0.810466E+00 0.527693E-01
0.0125 2.288 0.289690E+00 0.117228E-01 0.345687E+00 0.890915E-02 0.824860E+00 0.330386E-01 0.290405E+00 0.182135E-01 0.348920E+00 0.378197E-02 0.819235E+00 0.506034E-01
0.0125 2.731 0.306824E+00 0.116211E-01 0.361841E+00 0.942928E-02 0.835040E+00 0.309594E-01 0.307181E+00 0.181771E-01 0.364875E+00 0.380031E-02 0.829062E+00 0.481921E-01
0.0125 3.225 0.323214E+00 0.116470E-01 0.377447E+00 0.102095E-01 0.843623E+00 0.301993E-01 0.323240E+00 0.181609E-01 0.380170E+00 0.384075E-02 0.837647E+00 0.461103E-01
0.0125 3.738 0.337965E+00 0.117678E-01 0.391507E+00 0.109696E-01 0.850738E+00 0.291244E-01 0.337598E+00 0.182026E-01 0.394037E+00 0.389913E-02 0.844360E+00 0.445094E-01
0.0125 4.310 0.352403E+00 0.120056E-01 0.405435E+00 0.114378E-01 0.856885E+00 0.284149E-01 0.352010E+00 0.182043E-01 0.407750E+00 0.396677E-02 0.851067E+00 0.429253E-01
0.0175 1.708 0.267936E+00 0.873889E-02 0.315997E+00 0.569382E-02 0.832233E+00 0.273011E-01 0.268660E+00 0.153538E-01 0.317595E+00 0.317464E-02 0.830282E+00 0.470736E-01
0.0175 1.956 0.278712E+00 0.848479E-02 0.325902E+00 0.581516E-02 0.839656E+00 0.262556E-01 0.279215E+00 0.152422E-01 0.327462E+00 0.313291E-02 0.837165E+00 0.452479E-01
0.0175 2.310 0.292349E+00 0.833563E-02 0.338634E+00 0.589450E-02 0.847924E+00 0.246824E-01 0.292357E+00 0.151908E-01 0.340061E+00 0.311758E-02 0.844388E+00 0.433580E-01
0.0175 2.761 0.307341E+00 0.806063E-02 0.352816E+00 0.607614E-02 0.855877E+00 0.230987E-01 0.307032E+00 0.150786E-01 0.353903E+00 0.310570E-02 0.852389E+00 0.412644E-01
0.0175 3.281 0.322296E+00 0.803984E-02 0.366740E+00 0.635133E-02 0.863720E+00 0.221817E-01 0.321375E+00 0.149885E-01 0.367473E+00 0.311571E-02 0.859533E+00 0.394173E-01
0.0175 3.874 0.336813E+00 0.802231E-02 0.380556E+00 0.685582E-02 0.870107E+00 0.214455E-01 0.335344E+00 0.149337E-01 0.380789E+00 0.314588E-02 0.865782E+00 0.378228E-01
0.0175 4.547 0.351162E+00 0.803668E-02 0.393834E+00 0.705194E-02 0.876826E+00 0.209731E-01 0.349292E+00 0.148402E-01 0.393906E+00 0.318665E-02 0.871997E+00 0.362486E-01
0.0175 5.336 0.365708E+00 0.798608E-02 0.407665E+00 0.713297E-02 0.882390E+00 0.202683E-01 0.363075E+00 0.148146E-01 0.407107E+00 0.324654E-02 0.877238E+00 0.349421E-01
