   X     Q^2 F2(Pb)EPS09/F2p Stheo       statEPS09   systEPS09
 ----------------------------------------------------------------
0.0310  4.50 0.887044E+00 0.543346E-02 0.238453E-01 0.209838E-01
0.0500  8.50 0.913220E+00 0.597064E-02 0.191250E-01 0.181688E-01
0.0790 13.60 0.940246E+00 0.633641E-02 0.151044E-01 0.169924E-01
0.1230 18.10 0.951749E+00 0.638507E-02 0.172715E-01 0.172715E-01
0.1730 21.30 0.890041E+00 0.661325E-02 0.191782E-01 0.156912E-01
0.2440 24.70 0.854868E+00 0.760531E-02 0.173117E-01 0.156630E-01
0.3420 30.00 0.726487E+00 0.471468E-02 0.222943E-01 0.130691E-01
0.4430 34.40 0.690589E+00 0.666337E-02 0.324728E-01 0.129891E-01
0.5630 40.40 0.605204E+00 0.909481E-02 0.638457E-01 0.113060E-01
0.0150  4.50 0.812890E+00 0.634436E-02 0.208677E-01 0.218162E-01
0.0310  3.30 0.915364E+00 0.622566E-02 0.123569E-01 0.171096E-01
0.0500  6.40 0.961423E+00 0.704673E-02 0.114797E-01 0.124363E-01
0.0790  8.50 0.951905E+00 0.779696E-02 0.103570E-01 0.103570E-01
0.1230 11.00 0.952354E+00 0.595121E-02 0.146375E-01 0.914845E-02
0.1730 16.10 0.900614E+00 0.543077E-02 0.104824E-01 0.960888E-02
0.2430 19.30 0.843831E+00 0.876352E-02 0.116048E-01 0.828911E-02
0.3430 25.80 0.739572E+00 0.489327E-02 0.161445E-01 0.845665E-02
0.4440 36.00 0.691394E+00 0.670434E-02 0.245124E-01 0.937239E-02
0.6120 46.40 0.589899E+00 0.100405E-01 0.276314E-01 0.835368E-02
