   X     Q^2  F2pbeps09S(F2pbeps09) F2Aeps09 S(F2Apbeps09) factoreps09 erfactoreps09 F2pbdssz S(F2pbdssz) F2Adssz S(F2Adssz) factordssz erfactordssz
0.0310 4.000 0.339033E+00 0.736209E-02 0.342865E+00 0.643482E-02 0.964378E+00 0.417320E-02 0.337817E+00 0.106074E-01 0.346722E+00 0.469507E-02 0.950230E+00 0.192246E-01
0.0500 7.700 0.379341E+00 0.647613E-02 0.380197E+00 0.602895E-02 0.960918E+00 0.532828E-02 0.372245E+00 0.938843E-02 0.376415E+00 0.374699E-02 0.952418E+00 0.163052E-01
0.079011.100 0.377500E+00 0.554020E-02 0.378088E+00 0.463940E-02 0.943015E+00 0.491296E-02 0.373323E+00 0.109529E-01 0.374246E+00 0.460350E-02 0.942155E+00 0.184861E-01
0.123014.600 0.345299E+00 0.504580E-02 0.346098E+00 0.527516E-02 0.914411E+00 0.446108E-02 0.347809E+00 0.108894E-01 0.347511E+00 0.501766E-02 0.917312E+00 0.188434E-01
0.173017.100 0.303811E+00 0.510185E-02 0.306403E+00 0.385132E-02 0.876395E+00 0.786146E-02 0.307954E+00 0.938961E-02 0.307693E+00 0.482096E-02 0.884621E+00 0.173208E-01
0.246019.800 0.244881E+00 0.431529E-02 0.246693E+00 0.360488E-02 0.833737E+00 0.581410E-02 0.246797E+00 0.737185E-02 0.247009E+00 0.444141E-02 0.839183E+00 0.154025E-01
0.343024.800 0.163770E+00 0.302407E-02 0.167009E+00 0.271101E-02 0.780927E+00 0.253560E-02 0.168613E+00 0.525154E-02 0.169248E+00 0.363143E-02 0.793386E+00 0.146386E-01
0.443032.400 0.935717E-01 0.227691E-02 0.963266E-01 0.198486E-02 0.739794E+00 0.351077E-02 0.998707E-01 0.312198E-02 0.100598E+00 0.235890E-02 0.756071E+00 0.140801E-01
