   X     Q^2  F2pbeps09S(F2pbeps09) F2Aeps09 S(F2Apbeps09) factoreps09 erfactoreps09 F2pbdssz S(F2pbdssz) F2Adssz S(F2Adssz) factordssz erfactordssz
0.1300 2.000 0.331386E+00 0.736446E-02 0.330303E+00 0.576997E-02 0.929702E+00 0.193170E-01 0.340300E+00 0.129678E-01 0.334076E+00 0.467642E-02 0.943929E+00 0.349121E-01
0.2200 2.000 0.303895E+00 0.614236E-02 0.304440E+00 0.426395E-02 0.873161E+00 0.168784E-01 0.309470E+00 0.103825E-01 0.304523E+00 0.497132E-02 0.888937E+00 0.276666E-01
0.3000 2.000 0.264333E+00 0.519485E-02 0.266037E+00 0.457086E-02 0.825007E+00 0.122181E-01 0.265131E+00 0.868947E-02 0.263279E+00 0.478687E-02 0.836165E+00 0.243826E-01
0.4000 2.000 0.195275E+00 0.429499E-02 0.203568E+00 0.344890E-02 0.758942E+00 0.146270E-01 0.200121E+00 0.684416E-02 0.200735E+00 0.424398E-02 0.788751E+00 0.238216E-01
0.5000 2.000 0.124792E+00 0.342562E-02 0.135255E+00 0.253143E-02 0.699266E+00 0.203893E-01 0.133226E+00 0.453037E-02 0.134761E+00 0.331152E-02 0.749259E+00 0.233699E-01
0.2200 5.000 0.288166E+00 0.520332E-02 0.289727E+00 0.355674E-02 0.859159E+00 0.133863E-01 0.291353E+00 0.918363E-02 0.287217E+00 0.462162E-02 0.876252E+00 0.252024E-01
0.3000 5.000 0.234660E+00 0.448544E-02 0.238554E+00 0.383889E-02 0.808474E+00 0.131823E-01 0.236557E+00 0.747831E-02 0.235291E+00 0.430349E-02 0.826316E+00 0.229114E-01
0.4000 5.000 0.160920E+00 0.329686E-02 0.169145E+00 0.234815E-02 0.746241E+00 0.151081E-01 0.166705E+00 0.549194E-02 0.167417E+00 0.359419E-02 0.781050E+00 0.226629E-01
0.5000 5.000 0.960439E-01 0.259574E-02 0.104683E+00 0.182395E-02 0.689031E+00 0.208810E-01 0.103471E+00 0.334227E-02 0.104782E+00 0.262420E-02 0.741610E+00 0.224554E-01
0.6000 5.000 0.487701E-01 0.173103E-02 0.550470E-01 0.128449E-02 0.631781E+00 0.266051E-01 0.546715E-01 0.152045E-02 0.558694E-01 0.165267E-02 0.697805E+00 0.226767E-01
0.7000 5.000 0.202384E-01 0.768518E-03 0.233278E-01 0.593387E-03 0.585196E+00 0.270419E-01 0.231439E-01 0.455047E-03 0.239241E-01 0.880213E-03 0.652530E+00 0.246470E-01
0.400010.000 0.142335E+00 0.291893E-02 0.150123E+00 0.200322E-02 0.740086E+00 0.154845E-01 0.148278E+00 0.479046E-02 0.149015E+00 0.323614E-02 0.776720E+00 0.221302E-01
0.500010.000 0.815814E-01 0.228632E-02 0.892511E-01 0.161248E-02 0.682877E+00 0.218458E-01 0.883916E-01 0.277622E-02 0.895753E-01 0.227385E-02 0.737203E+00 0.221015E-01
0.600010.000 0.398450E-01 0.140988E-02 0.450625E-01 0.106953E-02 0.627490E+00 0.267415E-01 0.447704E-01 0.120869E-02 0.457915E-01 0.137618E-02 0.693832E+00 0.224666E-01
0.700010.000 0.158806E-01 0.614512E-03 0.182727E-01 0.470922E-03 0.584315E+00 0.271470E-01 0.181016E-01 0.327544E-03 0.187327E-01 0.715724E-03 0.649681E+00 0.252232E-01
0.800010.000 0.477234E-02 0.390177E-03 0.527048E-02 0.226505E-03 0.582593E+00 0.352578E-01 0.501042E-02 0.346969E-04 0.527360E-02 0.279046E-03 0.611295E+00 0.318852E-01
0.600015.000 0.358841E-01 0.128410E-02 0.406146E-01 0.964044E-03 0.625456E+00 0.267197E-01 0.403663E-01 0.106726E-02 0.413047E-01 0.125384E-02 0.691823E+00 0.225073E-01
