  x       Q^2   F2(Fe)/F2(D)    stat.     syst.
-----------------------------------------------
 0.089    2.0     0.999         0.019
 0.13     2.0     1.041		0.014
 0.22     2.0     1.015		0.014
 0.30     2.0     1.000		0.013
 0.40     2.0     0.947		0.013
 0.50     2.0     0.905		0.011
 0.14     5.0	  1.056		0.030
 0.22     5.0     1.012		0.013
 0.30     5.0	  1.007		0.014
 0.30     5.0	  0.981		0.015
 0.40	  5.0	  0.968		0.009
 0.50	  5.0	  0.920		0.009
 0.50	  5.0     0.908         0.012
 0.60	  5.0	  0.881		0.007
 0.70	  5.0	  0.849		0.008
 0.70     5.0     0.850         0.014
 0.30	 10.0	  0.942		0.021
 0.40	 10.0	  0.935		0.012
 0.50	 10.0	  0.860		0.016
 0.60	 10.0	  0.853		0.011
 0.70    10.0     0.866         0.016
 0.80	 10.0	  0.954		0.017
 0.60	 15.0	  0.867		0.013
