   X     Q^2  F2(Pb)EPS09/F2p Stheo     statEPS09   systEPS09    F2(Pb)DSSZ/F2p   S(F2(Pb)DSSZ)  statDSSZ    systDSSZ  
 -----------------------------------------------------------------------------------------------------------
0.0310 5.100 0.853883E+00 0.108277E-01 0.397800E-01 0.203526E-01 0.842489E+00 0.246956E-01 0.392492E-01 0.200810E-01
0.0500 7.800 0.967545E+00 0.121594E-01 0.332001E-01 0.189715E-01 0.957121E+00 0.246079E-01 0.328424E-01 0.187671E-01
0.078011.400 0.949330E+00 0.111869E-01 0.255808E-01 0.180013E-01 0.946609E+00 0.273335E-01 0.255074E-01 0.179497E-01
0.123014.400 0.954540E+00 0.960726E-02 0.292579E-01 0.173719E-01 0.964313E+00 0.292348E-01 0.295575E-01 0.175498E-01
0.173017.300 0.867942E+00 0.998269E-02 0.322752E-01 0.157015E-01 0.881064E+00 0.250217E-01 0.327632E-01 0.159388E-01
0.243020.200 0.783368E+00 0.101975E-01 0.261941E-01 0.147342E-01 0.795984E+00 0.209719E-01 0.266160E-01 0.149715E-01
0.343024.100 0.672356E+00 0.108961E-01 0.335433E-01 0.126719E-01 0.697590E+00 0.188160E-01 0.348022E-01 0.131475E-01
0.442029.800 0.619094E+00 0.148925E-01 0.473586E-01 0.116681E-01 0.657577E+00 0.186542E-01 0.503025E-01 0.123934E-01
0.564033.600 0.538725E+00 0.194892E-01 0.548588E-01 0.986225E-02 0.589491E+00 0.177738E-01 0.600283E-01 0.107916E-01
