   X     Q^2    y  F2(Pb)EPS09/f2p  Stheo     statEPS09   systEPS09
 --------------------------------------------------------------------
0.0125   3.4  0.73 0.810158E+00 0.210683E-01 0.419204E-01 0.455657E-01
0.0175   4.5  0.69 0.856234E+00 0.143024E-01 0.288200E-01 0.278904E-01
0.0250   6.1  0.66 0.886649E+00 0.107471E-01 0.170146E-01 0.160693E-01
0.0350   8.0  0.62 0.922438E+00 0.102870E-01 0.153420E-01 0.115065E-01
0.0450   9.8  0.59 0.948641E+00 0.981291E-02 0.164225E-01 0.115924E-01
0.0550  11.6  0.57 0.981311E+00 0.955351E-02 0.164520E-01 0.106454E-01
0.0700  13.9  0.54 0.991519E+00 0.103259E-01 0.125387E-01 0.106096E-01
0.0900  16.9  0.51 0.963463E+00 0.101659E-01 0.133549E-01 0.953924E-02
0.1250  21.4  0.47 0.941789E+00 0.913435E-02 0.102166E-01 0.743029E-02
0.1750  27.5  0.43 0.907722E+00 0.864730E-02 0.115577E-01 0.889052E-02
0.2500  35.5  0.39 0.829567E+00 0.108637E-01 0.999479E-02 0.832899E-02
0.3500  45.3  0.35 0.749730E+00 0.942999E-02 0.161812E-01 0.115580E-01
0.4500  53.6  0.32 0.692411E+00 0.111852E-01 0.256977E-01 0.171318E-01
0.5500  60.0  0.30 0.591622E+00 0.122900E-01 0.377209E-01 0.271326E-01
0.7000  66.1  0.26 0.491272E+00 0.124197E-01 0.418491E-01 0.533728E-01
