   X     Q^2  F2(Pb)EPS09/F2p Stheo     statEPS09   systEPS09    F2(Pb)DSSZ/F2p   S(F2(Pb)DSSZ)  statDSSZ    systDSSZ  
 -----------------------------------------------------------------------------------------------------------
0.0055 1.708 0.682464E+00 0.544263E-01 0.268804E-01 0.000000E+00 0.672615E+00 0.706073E-01 0.264925E-01 0.000000E+00
0.0055 1.906 0.701301E+00 0.539192E-01 0.333232E-01 0.000000E+00 0.691388E+00 0.689059E-01 0.328521E-01 0.000000E+00
0.0085 1.697 0.731145E+00 0.441912E-01 0.217556E-01 0.000000E+00 0.724295E+00 0.611265E-01 0.215518E-01 0.000000E+00
0.0085 1.967 0.764442E+00 0.438436E-01 0.197224E-01 0.000000E+00 0.757073E+00 0.601295E-01 0.195323E-01 0.000000E+00
0.0085 2.308 0.791491E+00 0.428433E-01 0.208077E-01 0.000000E+00 0.783543E+00 0.586883E-01 0.205987E-01 0.000000E+00
0.0085 2.673 0.732340E+00 0.377627E-01 0.332513E-01 0.000000E+00 0.724623E+00 0.513263E-01 0.329009E-01 0.000000E+00
0.0125 1.693 0.765638E+00 0.340973E-01 0.217602E-01 0.000000E+00 0.761621E+00 0.522060E-01 0.216461E-01 0.000000E+00
0.0125 1.949 0.810205E+00 0.344217E-01 0.195623E-01 0.000000E+00 0.805603E+00 0.524527E-01 0.194512E-01 0.000000E+00
0.0125 2.288 0.777018E+00 0.311224E-01 0.181469E-01 0.000000E+00 0.771720E+00 0.476684E-01 0.180232E-01 0.000000E+00
0.0125 2.731 0.873452E+00 0.323835E-01 0.208760E-01 0.000000E+00 0.867199E+00 0.504089E-01 0.207265E-01 0.000000E+00
0.0125 3.225 0.846154E+00 0.302899E-01 0.236215E-01 0.000000E+00 0.840160E+00 0.462487E-01 0.234541E-01 0.000000E+00
0.0125 3.738 0.837977E+00 0.286875E-01 0.323281E-01 0.000000E+00 0.831695E+00 0.438418E-01 0.320857E-01 0.000000E+00
0.0125 4.310 0.725782E+00 0.240674E-01 0.676939E-01 0.000000E+00 0.720854E+00 0.363577E-01 0.672343E-01 0.000000E+00
0.0175 1.708 0.835562E+00 0.274103E-01 0.266315E-01 0.000000E+00 0.833604E+00 0.472619E-01 0.265690E-01 0.000000E+00
0.0175 1.956 0.836297E+00 0.261506E-01 0.260293E-01 0.000000E+00 0.833817E+00 0.450669E-01 0.259521E-01 0.000000E+00
0.0175 2.310 0.856404E+00 0.249292E-01 0.245898E-01 0.000000E+00 0.852832E+00 0.437915E-01 0.244872E-01 0.000000E+00
0.0175 2.761 0.816506E+00 0.220362E-01 0.239645E-01 0.000000E+00 0.813179E+00 0.393663E-01 0.238669E-01 0.000000E+00
0.0175 3.281 0.877540E+00 0.225366E-01 0.310939E-01 0.000000E+00 0.873285E+00 0.400480E-01 0.309432E-01 0.000000E+00
0.0175 3.874 0.812680E+00 0.200301E-01 0.252331E-01 0.000000E+00 0.808641E+00 0.353265E-01 0.251077E-01 0.000000E+00
0.0175 4.547 0.887348E+00 0.212247E-01 0.298121E-01 0.000000E+00 0.882461E+00 0.366836E-01 0.296479E-01 0.000000E+00
0.0175 5.336 0.970629E+00 0.222951E-01 0.617673E-01 0.000000E+00 0.964962E+00 0.384363E-01 0.614067E-01 0.000000E+00
0.0250 1.706 0.817728E+00 0.205708E-01 0.241015E-01 0.000000E+00 0.816705E+00 0.381419E-01 0.240713E-01 0.000000E+00
0.0250 1.952 0.890650E+00 0.213046E-01 0.225043E-01 0.000000E+00 0.890236E+00 0.395843E-01 0.224938E-01 0.000000E+00
0.0250 2.290 0.878018E+00 0.197460E-01 0.217979E-01 0.000000E+00 0.876661E+00 0.371005E-01 0.217642E-01 0.000000E+00
0.0250 2.754 0.880889E+00 0.187073E-01 0.219563E-01 0.000000E+00 0.879627E+00 0.350090E-01 0.219249E-01 0.000000E+00
0.0250 3.250 0.897686E+00 0.180726E-01 0.247638E-01 0.000000E+00 0.895627E+00 0.337924E-01 0.247069E-01 0.000000E+00
0.0250 3.837 0.874523E+00 0.160089E-01 0.249355E-01 0.000000E+00 0.871313E+00 0.312815E-01 0.248439E-01 0.000000E+00
0.0250 4.584 0.945726E+00 0.168890E-01 0.277891E-01 0.000000E+00 0.941756E+00 0.319437E-01 0.276725E-01 0.000000E+00
