   X     Q^2  F2(Pb)EPS09/F2p Stheo     statEPS09   systEPS09    F2(Pb)DSSZ/F2p   S(F2(Pb)DSSZ)  statDSSZ    systDSSZ  
 -----------------------------------------------------------------------------------------------------------
0.0310 4.500 0.887044E+00 0.543346E-02 0.238453E-01 0.209838E-01 0.872775E+00 0.259586E-01 0.234617E-01 0.206463E-01
0.0500 8.500 0.913220E+00 0.597064E-02 0.191250E-01 0.181688E-01 0.905062E+00 0.230210E-01 0.189542E-01 0.180065E-01
0.079013.600 0.940246E+00 0.633641E-02 0.151044E-01 0.169924E-01 0.937873E+00 0.270164E-01 0.150662E-01 0.169495E-01
0.123018.100 0.951749E+00 0.638507E-02 0.172715E-01 0.172715E-01 0.960432E+00 0.291293E-01 0.174290E-01 0.174290E-01
0.173021.300 0.890041E+00 0.661325E-02 0.191782E-01 0.156912E-01 0.902039E+00 0.261868E-01 0.194367E-01 0.159027E-01
0.244024.700 0.854868E+00 0.760531E-02 0.173117E-01 0.156630E-01 0.868355E+00 0.237839E-01 0.175848E-01 0.159101E-01
0.342030.000 0.726487E+00 0.471468E-02 0.222943E-01 0.130691E-01 0.745448E+00 0.206082E-01 0.228762E-01 0.134102E-01
0.443034.400 0.690589E+00 0.666337E-02 0.324728E-01 0.129891E-01 0.717293E+00 0.201146E-01 0.337285E-01 0.134914E-01
0.563040.400 0.605204E+00 0.909481E-02 0.638457E-01 0.113060E-01 0.636197E+00 0.165833E-01 0.671153E-01 0.118850E-01
0.0150 4.500 0.812890E+00 0.634436E-02 0.208677E-01 0.218162E-01 0.787884E+00 0.337875E-01 0.202257E-01 0.211451E-01
0.0310 3.300 0.915364E+00 0.622566E-02 0.123569E-01 0.171096E-01 0.900470E+00 0.295758E-01 0.121559E-01 0.168312E-01
0.0500 6.400 0.961423E+00 0.704673E-02 0.114797E-01 0.124363E-01 0.951254E+00 0.257229E-01 0.113583E-01 0.123048E-01
0.0790 8.500 0.951905E+00 0.779696E-02 0.103570E-01 0.103570E-01 0.952211E+00 0.289996E-01 0.103604E-01 0.103604E-01
0.123011.000 0.952354E+00 0.595121E-02 0.146375E-01 0.914845E-02 0.957007E+00 0.301511E-01 0.147090E-01 0.919315E-02
0.173016.100 0.900614E+00 0.543077E-02 0.104824E-01 0.960888E-02 0.912381E+00 0.268880E-01 0.106194E-01 0.973442E-02
0.243019.300 0.843831E+00 0.876352E-02 0.116048E-01 0.828911E-02 0.854231E+00 0.235985E-01 0.117478E-01 0.839127E-02
0.343025.800 0.739572E+00 0.489327E-02 0.161445E-01 0.845665E-02 0.759002E+00 0.210615E-01 0.165687E-01 0.867882E-02
0.444036.000 0.691394E+00 0.670434E-02 0.245124E-01 0.937239E-02 0.718258E+00 0.201220E-01 0.254648E-01 0.973656E-02
0.612046.400 0.589899E+00 0.100405E-01 0.276314E-01 0.835368E-02 0.622021E+00 0.165471E-01 0.291361E-01 0.880858E-02
