   X     Q^2 F2(Pb)EPS09/F2p Stheo      statEPS09    systEPS09
 ----------------------------------------------------------------
0.0310  5.10 0.853883E+00 0.108277E-01 0.397800E-01 0.203526E-01
0.0500  7.80 0.967545E+00 0.121594E-01 0.332001E-01 0.189715E-01
0.0780 11.40 0.949330E+00 0.111869E-01 0.255808E-01 0.180013E-01
0.1230 14.40 0.954540E+00 0.960726E-02 0.292579E-01 0.173719E-01
0.1730 17.30 0.867942E+00 0.998269E-02 0.322752E-01 0.157015E-01
0.2430 20.20 0.783368E+00 0.101975E-01 0.261941E-01 0.147342E-01
0.3430 24.10 0.672356E+00 0.108961E-01 0.335433E-01 0.126719E-01
0.4420 29.80 0.619094E+00 0.148925E-01 0.473586E-01 0.116681E-01
0.5640 33.60 0.538725E+00 0.194892E-01 0.548588E-01 0.986225E-02
