   X     Q^2  F2pbeps09S(F2pbeps09) F2Aeps09 S(F2Apbeps09) factoreps09 erfactoreps09 F2pbdssz S(F2pbdssz) F2Adssz S(F2Adssz) factordssz erfactordssz
0.0890 2.000 0.333940E+00 0.775589E-02 0.335833E+00 0.654457E-02 0.940385E+00 0.746213E-02 0.336662E+00 0.127421E-01 0.338527E+00 0.406379E-02 0.940510E+00 0.377710E-01
0.1300 2.000 0.331386E+00 0.736446E-02 0.333731E+00 0.603176E-02 0.920151E+00 0.772809E-02 0.340300E+00 0.129678E-01 0.340163E+00 0.464089E-02 0.927038E+00 0.365898E-01
0.2200 2.000 0.303895E+00 0.614236E-02 0.309749E+00 0.592402E-02 0.858195E+00 0.136759E-01 0.309470E+00 0.103825E-01 0.310149E+00 0.482475E-02 0.872813E+00 0.293165E-01
0.3000 2.000 0.264333E+00 0.519485E-02 0.270132E+00 0.543475E-02 0.812500E+00 0.124012E-01 0.265131E+00 0.868947E-02 0.267263E+00 0.498544E-02 0.823702E+00 0.259487E-01
0.4000 2.000 0.195275E+00 0.429499E-02 0.203918E+00 0.354163E-02 0.757642E+00 0.619014E-02 0.200121E+00 0.684416E-02 0.203123E+00 0.467548E-02 0.779479E+00 0.249725E-01
0.5000 2.000 0.124792E+00 0.342562E-02 0.133363E+00 0.246251E-02 0.709185E+00 0.892891E-02 0.133226E+00 0.453037E-02 0.136240E+00 0.355179E-02 0.741130E+00 0.236711E-01
0.1400 5.000 0.331879E+00 0.572076E-02 0.334860E+00 0.422212E-02 0.904380E+00 0.818272E-02 0.338411E+00 0.114715E-01 0.338279E+00 0.444546E-02 0.912858E+00 0.318257E-01
0.2200 5.000 0.288166E+00 0.520332E-02 0.292822E+00 0.384210E-02 0.850078E+00 0.882910E-02 0.291353E+00 0.918363E-02 0.292339E+00 0.458925E-02 0.860900E+00 0.269498E-01
0.3000 5.000 0.234660E+00 0.448544E-02 0.240415E+00 0.435288E-02 0.802217E+00 0.423129E-02 0.236557E+00 0.747831E-02 0.238755E+00 0.457210E-02 0.814327E+00 0.245599E-01
0.3000 5.000 0.234660E+00 0.448544E-02 0.240415E+00 0.435288E-02 0.802217E+00 0.423129E-02 0.236557E+00 0.747831E-02 0.238755E+00 0.457210E-02 0.814327E+00 0.245599E-01
0.4000 5.000 0.160920E+00 0.329686E-02 0.168853E+00 0.253973E-02 0.747532E+00 0.620232E-02 0.166705E+00 0.549194E-02 0.169436E+00 0.393957E-02 0.771741E+00 0.237727E-01
0.5000 5.000 0.960439E-01 0.259574E-02 0.102897E+00 0.189560E-02 0.700987E+00 0.861083E-02 0.103471E+00 0.334227E-02 0.106007E+00 0.273085E-02 0.733042E+00 0.224325E-01
0.5000 5.000 0.960439E-01 0.259574E-02 0.102897E+00 0.189560E-02 0.700987E+00 0.861083E-02 0.103471E+00 0.334227E-02 0.106007E+00 0.273085E-02 0.733042E+00 0.224325E-01
0.6000 5.000 0.487701E-01 0.173103E-02 0.534884E-01 0.122725E-02 0.650192E+00 0.114518E-01 0.546715E-01 0.152045E-02 0.566549E-01 0.143283E-02 0.688130E+00 0.201439E-01
0.7000 5.000 0.202384E-01 0.768518E-03 0.225844E-01 0.534748E-03 0.604460E+00 0.118684E-01 0.231439E-01 0.455047E-03 0.243507E-01 0.565668E-03 0.641099E+00 0.177718E-01
0.7000 5.000 0.202384E-01 0.768518E-03 0.225844E-01 0.534748E-03 0.604460E+00 0.118684E-01 0.231439E-01 0.455047E-03 0.243507E-01 0.565668E-03 0.641099E+00 0.177718E-01
0.300010.000 0.215610E+00 0.401928E-02 0.222927E+00 0.263081E-02 0.790605E+00 0.774428E-02 0.219008E+00 0.680507E-02 0.221193E+00 0.430311E-02 0.809362E+00 0.238963E-01
0.400010.000 0.142335E+00 0.291893E-02 0.149765E+00 0.222261E-02 0.741857E+00 0.623922E-02 0.148278E+00 0.479046E-02 0.150828E+00 0.352538E-02 0.767381E+00 0.231800E-01
0.500010.000 0.815814E-01 0.228632E-02 0.876655E-01 0.165562E-02 0.695227E+00 0.900636E-02 0.883916E-01 0.277622E-02 0.906562E-01 0.231860E-02 0.728413E+00 0.218370E-01
0.600010.000 0.398450E-01 0.140988E-02 0.437731E-01 0.102754E-02 0.645975E+00 0.111626E-01 0.447704E-01 0.120869E-02 0.464606E-01 0.117091E-02 0.683840E+00 0.196223E-01
0.700010.000 0.158806E-01 0.614512E-03 0.177271E-01 0.437723E-03 0.602299E+00 0.117929E-01 0.181016E-01 0.327544E-03 0.190694E-01 0.439290E-03 0.638207E+00 0.174887E-01
0.800010.000 0.477234E-02 0.390177E-03 0.526001E-02 0.310868E-03 0.583753E+00 0.154470E-01 0.501042E-02 0.346969E-04 0.537168E-02 0.125260E-03 0.600132E+00 0.167796E-01
0.600015.000 0.358841E-01 0.128410E-02 0.394462E-01 0.934820E-03 0.643981E+00 0.113414E-01 0.403663E-01 0.106726E-02 0.419162E-01 0.104747E-02 0.681731E+00 0.194121E-01
