   X     Q^2  F2pbeps09S(F2pbeps09) F2Aeps09 S(F2Apbeps09) factoreps09 erfactoreps09 F2pbdssz S(F2pbdssz) F2Adssz S(F2Adssz) factordssz erfactordssz
0.0055 1.904 0.269611E+00 0.230456E-01 0.332694E+00 0.191814E-01 0.799285E+00 0.471276E-01 0.274143E+00 0.275634E-01 0.356876E+00 0.597943E-02 0.757651E+00 0.751786E-01
0.0085 1.698 0.258723E+00 0.166088E-01 0.312119E+00 0.121806E-01 0.816295E+00 0.366930E-01 0.261512E+00 0.223068E-01 0.330217E+00 0.471709E-02 0.779874E+00 0.655119E-01
0.0085 1.932 0.271621E+00 0.166245E-01 0.324344E+00 0.126971E-01 0.825070E+00 0.358327E-01 0.274252E+00 0.222242E-01 0.342214E+00 0.470258E-02 0.789560E+00 0.629215E-01
0.0085 2.296 0.290291E+00 0.167997E-01 0.342495E+00 0.136092E-01 0.835557E+00 0.341282E-01 0.292478E+00 0.222628E-01 0.359900E+00 0.472979E-02 0.801137E+00 0.598645E-01
0.0085 2.711 0.309094E+00 0.169927E-01 0.360404E+00 0.144724E-01 0.845925E+00 0.324830E-01 0.310989E+00 0.222669E-01 0.377665E+00 0.476667E-02 0.812212E+00 0.569727E-01
0.0125 1.706 0.262962E+00 0.119461E-01 0.307299E+00 0.772637E-02 0.841556E+00 0.275316E-01 0.264374E+00 0.182814E-01 0.320620E+00 0.377055E-02 0.810922E+00 0.552050E-01
0.0125 1.929 0.273741E+00 0.117811E-01 0.317589E+00 0.791185E-02 0.847984E+00 0.268258E-01 0.274991E+00 0.182138E-01 0.330645E+00 0.375847E-02 0.818216E+00 0.532630E-01
0.0125 2.305 0.290386E+00 0.117295E-01 0.333754E+00 0.842056E-02 0.856423E+00 0.252396E-01 0.291088E+00 0.182138E-01 0.346208E+00 0.377596E-02 0.827610E+00 0.507890E-01
0.0125 2.721 0.306429E+00 0.116196E-01 0.348964E+00 0.883263E-02 0.864733E+00 0.240151E-01 0.306811E+00 0.181788E-01 0.361236E+00 0.380269E-02 0.836397E+00 0.484910E-01
0.0125 3.231 0.323397E+00 0.116489E-01 0.365133E+00 0.945415E-02 0.872572E+00 0.230603E-01 0.323416E+00 0.181617E-01 0.377131E+00 0.385193E-02 0.844861E+00 0.463039E-01
0.0125 3.814 0.339972E+00 0.117878E-01 0.381228E+00 0.997230E-02 0.878906E+00 0.221883E-01 0.339591E+00 0.182050E-01 0.392798E+00 0.392294E-02 0.852062E+00 0.444772E-01
0.0125 4.312 0.352449E+00 0.120069E-01 0.393381E+00 0.105106E-01 0.883257E+00 0.221253E-01 0.352055E+00 0.182042E-01 0.404708E+00 0.398426E-02 0.857576E+00 0.430920E-01
0.0175 1.706 0.267860E+00 0.873871E-02 0.304805E+00 0.547511E-02 0.862544E+00 0.208928E-01 0.268574E+00 0.153545E-01 0.314683E+00 0.311379E-02 0.837695E+00 0.473317E-01
0.0175 1.941 0.278056E+00 0.849877E-02 0.314547E+00 0.543137E-02 0.867906E+00 0.203659E-01 0.278598E+00 0.152504E-01 0.324124E+00 0.308577E-02 0.843903E+00 0.455707E-01
0.0175 2.291 0.291658E+00 0.834130E-02 0.327504E+00 0.549201E-02 0.874651E+00 0.190130E-01 0.291689E+00 0.151939E-01 0.336715E+00 0.307924E-02 0.850818E+00 0.436368E-01
0.0175 2.704 0.305579E+00 0.813656E-02 0.340695E+00 0.570270E-02 0.881210E+00 0.179132E-01 0.305283E+00 0.150962E-01 0.349635E+00 0.307861E-02 0.857847E+00 0.416737E-01
0.0175 3.231 0.320959E+00 0.804026E-02 0.355224E+00 0.588661E-02 0.887997E+00 0.166171E-01 0.320115E+00 0.149902E-01 0.363703E+00 0.309444E-02 0.865015E+00 0.396915E-01
0.0175 3.884 0.337052E+00 0.801960E-02 0.370772E+00 0.613438E-02 0.893708E+00 0.164348E-01 0.335576E+00 0.149324E-01 0.378523E+00 0.313433E-02 0.871570E+00 0.379082E-01
0.0175 4.585 0.351912E+00 0.803306E-02 0.384987E+00 0.644839E-02 0.898902E+00 0.159741E-01 0.350000E+00 0.148394E-01 0.392181E+00 0.318169E-02 0.877621E+00 0.362756E-01
0.0175 5.379 0.366436E+00 0.799400E-02 0.398811E+00 0.678023E-02 0.903786E+00 0.155159E-01 0.363766E+00 0.148126E-01 0.405419E+00 0.324376E-02 0.882578E+00 0.349598E-01
0.0175 6.194 0.379354E+00 0.804708E-02 0.411061E+00 0.703507E-02 0.907958E+00 0.150145E-01 0.376128E+00 0.147772E-01 0.417246E+00 0.330750E-02 0.886893E+00 0.338241E-01
