  x       Q^2     y    F2(Be)/F2(C)   stat.     syst.
------------------------------------------------------
0.0125    3.4	0.73      1.014	     0.013	0.02
0.0175	  4.5	0.69	  1.021	     0.013	0.021
0.025	  6.0	0.66	  1.019	     0.009	0.009
0.035	  8.0	0.62	  1.0	     0.009	0.01
0.045	  9.8	0.59	  1.01	     0.01	0.013
0.055	 11.4	0.57	  0.997	     0.011	0.016
0.07	 13.8	0.54	  1.002	     0.008	0.01
0.09	 16.8	0.51	  0.998	     0.009	0.016
0.125	 21.4	0.47	  0.993	     0.007	0.008
0.175	 27.6	0.43	  1.007	     0.008	0.012
0.25	 35.5	0.39	  1.001	     0.008	0.01
0.35	 45.4	0.36	  1.001	     0.014	0.024
0.45	 53.9	0.33	  0.985	     0.023	0.029
0.55	 60.5	0.30      0.938	     0.038	0.046
0.7	 66.7	0.26	  0.997	     0.061	0.082

