   X     Q^2  F2pbeps09S(F2pbeps09) F2Aeps09 S(F2Apbeps09) factoreps09 erfactoreps09 F2pbdssz S(F2pbdssz) F2Adssz S(F2Adssz) factordssz erfactordssz
0.1300 2.000 0.331386E+00 0.736446E-02 0.333868E+00 0.635846E-02 0.919775E+00 0.117920E-01 0.340300E+00 0.129678E-01 0.338033E+00 0.450896E-02 0.932880E+00 0.352241E-01
0.2200 2.000 0.303895E+00 0.614236E-02 0.309191E+00 0.504293E-02 0.859743E+00 0.120827E-01 0.309470E+00 0.103825E-01 0.309323E+00 0.482350E-02 0.875145E+00 0.278713E-01
0.3000 2.000 0.264333E+00 0.519485E-02 0.272482E+00 0.495618E-02 0.805494E+00 0.989890E-02 0.265131E+00 0.868947E-02 0.268059E+00 0.475568E-02 0.821255E+00 0.243817E-01
0.4000 2.000 0.195275E+00 0.429499E-02 0.206501E+00 0.335347E-02 0.748162E+00 0.963233E-02 0.200121E+00 0.684416E-02 0.204865E+00 0.425799E-02 0.772852E+00 0.233080E-01
0.5000 2.000 0.124792E+00 0.342562E-02 0.136223E+00 0.229547E-02 0.694299E+00 0.130496E-01 0.133226E+00 0.453037E-02 0.137954E+00 0.323464E-02 0.731918E+00 0.220568E-01
0.2200 5.000 0.288166E+00 0.520332E-02 0.295079E+00 0.440617E-02 0.843575E+00 0.979644E-02 0.291353E+00 0.918363E-02 0.291915E+00 0.451909E-02 0.862150E+00 0.254266E-01
0.3000 5.000 0.234660E+00 0.448544E-02 0.242462E+00 0.378376E-02 0.795443E+00 0.115063E-01 0.236557E+00 0.747831E-02 0.239699E+00 0.429310E-02 0.811119E+00 0.228826E-01
0.4000 5.000 0.160920E+00 0.329686E-02 0.171313E+00 0.228193E-02 0.736799E+00 0.100447E-01 0.166705E+00 0.549194E-02 0.170984E+00 0.358060E-02 0.764756E+00 0.220346E-01
0.5000 5.000 0.960439E-01 0.259574E-02 0.105348E+00 0.165815E-02 0.684678E+00 0.136204E-01 0.103471E+00 0.334227E-02 0.107373E+00 0.251765E-02 0.723712E+00 0.208881E-01
0.6000 5.000 0.487701E-01 0.173103E-02 0.552145E-01 0.109626E-02 0.629866E+00 0.171637E-01 0.546715E-01 0.152045E-02 0.575542E-01 0.145429E-02 0.677378E+00 0.195462E-01
0.7000 5.000 0.202384E-01 0.768518E-03 0.234586E-01 0.489936E-03 0.581934E+00 0.176824E-01 0.231439E-01 0.455047E-03 0.248053E-01 0.708199E-03 0.629349E+00 0.193677E-01
0.400010.000 0.142335E+00 0.291893E-02 0.152030E+00 0.192781E-02 0.730803E+00 0.999841E-02 0.148278E+00 0.479046E-02 0.152253E+00 0.320657E-02 0.760201E+00 0.214154E-01
0.500010.000 0.815814E-01 0.228632E-02 0.898499E-01 0.145760E-02 0.678325E+00 0.135373E-01 0.883916E-01 0.277622E-02 0.918431E-01 0.215699E-02 0.719000E+00 0.203639E-01
0.600010.000 0.398450E-01 0.140988E-02 0.451919E-01 0.920239E-03 0.625694E+00 0.168150E-01 0.447704E-01 0.120869E-02 0.472029E-01 0.120211E-02 0.673086E+00 0.191552E-01
0.700010.000 0.158806E-01 0.614512E-03 0.183952E-01 0.396775E-03 0.580422E+00 0.173405E-01 0.181016E-01 0.327544E-03 0.194297E-01 0.570079E-03 0.626373E+00 0.195443E-01
0.800010.000 0.477234E-02 0.390177E-03 0.542202E-02 0.270335E-03 0.566310E+00 0.228970E-01 0.501042E-02 0.346969E-04 0.549437E-02 0.215198E-03 0.586732E+00 0.232862E-01
0.600015.000 0.358841E-01 0.128410E-02 0.407550E-01 0.825944E-03 0.623301E+00 0.171513E-01 0.403663E-01 0.106726E-02 0.425901E-01 0.108769E-02 0.670944E+00 0.190672E-01
