   X     Q^2  F2pbeps09S(F2pbeps09) F2Aeps09 S(F2Apbeps09) factoreps09 erfactoreps09 F2pbdssz S(F2pbdssz) F2Adssz S(F2Adssz) factordssz erfactordssz
0.1300 2.000 0.331386E+00 0.736446E-02 0.330954E+00 0.628662E-02 0.927872E+00 0.214397E-01 0.340300E+00 0.129678E-01 0.336583E+00 0.477216E-02 0.936899E+00 0.344427E-01
0.2200 2.000 0.303895E+00 0.614236E-02 0.306979E+00 0.632438E-02 0.865939E+00 0.231877E-01 0.309470E+00 0.103825E-01 0.309091E+00 0.513283E-02 0.875800E+00 0.270903E-01
0.3000 2.000 0.264333E+00 0.519485E-02 0.272405E+00 0.461690E-02 0.805722E+00 0.115253E-01 0.265131E+00 0.868947E-02 0.269222E+00 0.496647E-02 0.817708E+00 0.237856E-01
0.4000 2.000 0.195275E+00 0.429499E-02 0.210797E+00 0.398020E-02 0.732918E+00 0.178723E-01 0.200121E+00 0.684416E-02 0.206775E+00 0.443708E-02 0.765714E+00 0.232646E-01
0.5000 2.000 0.124792E+00 0.342562E-02 0.142089E+00 0.318535E-02 0.665632E+00 0.248951E-01 0.133226E+00 0.453037E-02 0.139750E+00 0.352404E-02 0.722512E+00 0.229503E-01
0.2200 5.000 0.288166E+00 0.520332E-02 0.292735E+00 0.373632E-02 0.850330E+00 0.149671E-01 0.291353E+00 0.918363E-02 0.292020E+00 0.478014E-02 0.861838E+00 0.246334E-01
0.3000 5.000 0.234660E+00 0.448544E-02 0.244385E+00 0.388780E-02 0.789185E+00 0.152311E-01 0.236557E+00 0.747831E-02 0.240952E+00 0.447444E-02 0.806901E+00 0.223436E-01
0.4000 5.000 0.160920E+00 0.329686E-02 0.175416E+00 0.289244E-02 0.719567E+00 0.183190E-01 0.166705E+00 0.549194E-02 0.172672E+00 0.377676E-02 0.757281E+00 0.221705E-01
0.5000 5.000 0.960439E-01 0.259574E-02 0.110293E+00 0.249059E-02 0.653984E+00 0.256010E-01 0.103471E+00 0.334227E-02 0.108810E+00 0.281308E-02 0.714158E+00 0.221342E-01
0.5000 5.000 0.960439E-01 0.259574E-02 0.110293E+00 0.249059E-02 0.653984E+00 0.256010E-01 0.103471E+00 0.334227E-02 0.108810E+00 0.281308E-02 0.714158E+00 0.221342E-01
0.6000 5.000 0.487701E-01 0.173103E-02 0.587861E-01 0.178868E-02 0.591598E+00 0.311679E-01 0.546715E-01 0.152045E-02 0.584983E-01 0.182376E-02 0.666446E+00 0.225929E-01
0.7000 5.000 0.202384E-01 0.768518E-03 0.252226E-01 0.865834E-03 0.541235E+00 0.318295E-01 0.231439E-01 0.455047E-03 0.252858E-01 0.997168E-03 0.617390E+00 0.247907E-01
0.400010.000 0.142335E+00 0.291893E-02 0.156073E+00 0.259446E-02 0.711872E+00 0.192061E-01 0.148278E+00 0.479046E-02 0.153803E+00 0.341115E-02 0.752539E+00 0.216783E-01
0.500010.000 0.815814E-01 0.228632E-02 0.940758E-01 0.222394E-02 0.647855E+00 0.263646E-01 0.883916E-01 0.277622E-02 0.930928E-01 0.244778E-02 0.709348E+00 0.218349E-01
0.600010.000 0.398450E-01 0.140988E-02 0.481810E-01 0.152644E-02 0.586876E+00 0.314931E-01 0.447704E-01 0.120869E-02 0.479844E-01 0.152326E-02 0.662123E+00 0.224476E-01
0.700010.000 0.158806E-01 0.614512E-03 0.197630E-01 0.675175E-03 0.540252E+00 0.316831E-01 0.181016E-01 0.327544E-03 0.198104E-01 0.811669E-03 0.614337E+00 0.253921E-01
0.800010.000 0.477234E-02 0.390177E-03 0.568757E-02 0.242413E-03 0.539869E+00 0.402105E-01 0.501042E-02 0.346969E-04 0.562253E-02 0.320013E-03 0.573358E+00 0.320625E-01
0.600015.000 0.358841E-01 0.128410E-02 0.434305E-01 0.138515E-02 0.584903E+00 0.316490E-01 0.403663E-01 0.106726E-02 0.433001E-01 0.139038E-02 0.659943E+00 0.225111E-01
