   X     Q^2  F2(Pb)EPS09/F2p Stheo     statEPS09   systEPS09    F2(Pb)DSSZ/F2p   S(F2(Pb)DSSZ)  statDSSZ    systDSSZ  
0.0250 9.233 0.880745E+00 0.110159E-01 0.136192E+00 0.000000E+00 0.865987E+00 0.241570E-01 0.133910E+00 0.000000E+00
0.0350 1.706 0.873330E+00 0.161817E-01 0.308671E-01 0.000000E+00 0.860700E+00 0.343997E-01 0.304207E-01 0.000000E+00
0.0350 1.941 0.911065E+00 0.159549E-01 0.237550E-01 0.000000E+00 0.896800E+00 0.341471E-01 0.233831E-01 0.000000E+00
0.0350 2.305 0.891580E+00 0.159519E-01 0.219974E-01 0.000000E+00 0.879200E+00 0.317249E-01 0.216920E-01 0.000000E+00
0.0350 2.737 0.888336E+00 0.154854E-01 0.220529E-01 0.000000E+00 0.877876E+00 0.299332E-01 0.217932E-01 0.000000E+00
0.0350 3.231 0.881223E+00 0.144522E-01 0.221524E-01 0.000000E+00 0.870567E+00 0.281539E-01 0.218845E-01 0.000000E+00
0.0350 3.837 0.910554E+00 0.139354E-01 0.222356E-01 0.000000E+00 0.899651E+00 0.276715E-01 0.219694E-01 0.000000E+00
0.0350 4.613 0.915021E+00 0.125610E-01 0.232719E-01 0.000000E+00 0.903434E+00 0.262426E-01 0.229772E-01 0.000000E+00
0.0350 5.479 0.919841E+00 0.120709E-01 0.242773E-01 0.000000E+00 0.908368E+00 0.251509E-01 0.239745E-01 0.000000E+00
0.0350 6.709 0.934306E+00 0.119731E-01 0.206709E-01 0.000000E+00 0.921053E+00 0.241122E-01 0.203777E-01 0.000000E+00
0.0350 8.216 0.937051E+00 0.112413E-01 0.207316E-01 0.000000E+00 0.924359E+00 0.228971E-01 0.204508E-01 0.000000E+00
0.0350 9.817 0.974406E+00 0.118473E-01 0.245696E-01 0.000000E+00 0.960653E+00 0.227158E-01 0.242228E-01 0.000000E+00
0.035011.588 0.901463E+00 0.107810E-01 0.635471E-01 0.000000E+00 0.888178E+00 0.201733E-01 0.626106E-01 0.000000E+00
0.0450 1.717 0.901810E+00 0.174783E-01 0.414097E-01 0.000000E+00 0.895527E+00 0.336563E-01 0.411211E-01 0.000000E+00
0.0450 1.989 0.914224E+00 0.163764E-01 0.296705E-01 0.000000E+00 0.904148E+00 0.323051E-01 0.293436E-01 0.000000E+00
0.0450 2.305 0.925676E+00 0.176622E-01 0.249932E-01 0.000000E+00 0.919433E+00 0.315991E-01 0.248247E-01 0.000000E+00
0.0450 2.721 0.904715E+00 0.160602E-01 0.259549E-01 0.000000E+00 0.900145E+00 0.295068E-01 0.258238E-01 0.000000E+00
0.0450 3.231 0.916538E+00 0.158370E-01 0.250979E-01 0.000000E+00 0.912080E+00 0.285232E-01 0.249758E-01 0.000000E+00
0.0450 3.837 0.907498E+00 0.139767E-01 0.242248E-01 0.000000E+00 0.903354E+00 0.270796E-01 0.241142E-01 0.000000E+00
0.0450 4.585 0.900479E+00 0.122848E-01 0.252209E-01 0.000000E+00 0.896556E+00 0.256566E-01 0.251110E-01 0.000000E+00
0.0450 5.479 0.938291E+00 0.130424E-01 0.280925E-01 0.000000E+00 0.934129E+00 0.256554E-01 0.279679E-01 0.000000E+00
0.0450 6.750 0.937933E+00 0.120982E-01 0.245335E-01 0.000000E+00 0.929157E+00 0.243317E-01 0.243039E-01 0.000000E+00
0.0450 8.166 0.921795E+00 0.111999E-01 0.255528E-01 0.000000E+00 0.912575E+00 0.228944E-01 0.252973E-01 0.000000E+00
0.0450 9.878 0.910555E+00 0.112791E-01 0.237124E-01 0.000000E+00 0.901370E+00 0.217094E-01 0.234732E-01 0.000000E+00
0.045012.171 0.934094E+00 0.125225E-01 0.256828E-01 0.000000E+00 0.923934E+00 0.213365E-01 0.254035E-01 0.000000E+00
0.045014.543 0.935165E+00 0.118573E-01 0.877910E-01 0.000000E+00 0.923689E+00 0.205623E-01 0.867136E-01 0.000000E+00
0.0550 1.706 0.959990E+00 0.194331E-01 0.671061E-01 0.000000E+00 0.950701E+00 0.352404E-01 0.664568E-01 0.000000E+00
0.0550 1.977 0.971244E+00 0.185447E-01 0.459372E-01 0.000000E+00 0.958962E+00 0.339731E-01 0.453563E-01 0.000000E+00
0.0550 2.305 0.946870E+00 0.174173E-01 0.299405E-01 0.000000E+00 0.938844E+00 0.320672E-01 0.296868E-01 0.000000E+00
0.0550 2.721 0.890457E+00 0.147045E-01 0.271824E-01 0.000000E+00 0.883448E+00 0.289580E-01 0.269684E-01 0.000000E+00
0.0550 3.231 0.919774E+00 0.151856E-01 0.290949E-01 0.000000E+00 0.913420E+00 0.287577E-01 0.288939E-01 0.000000E+00
0.0550 3.837 0.964775E+00 0.148333E-01 0.282098E-01 0.000000E+00 0.958197E+00 0.291070E-01 0.280175E-01 0.000000E+00
0.0550 4.585 0.975656E+00 0.134884E-01 0.320196E-01 0.000000E+00 0.969534E+00 0.283336E-01 0.318187E-01 0.000000E+00
0.0550 5.479 0.936316E+00 0.130541E-01 0.311476E-01 0.000000E+00 0.929987E+00 0.262696E-01 0.309371E-01 0.000000E+00
0.0550 6.750 0.971598E+00 0.126099E-01 0.313113E-01 0.000000E+00 0.961861E+00 0.261291E-01 0.309975E-01 0.000000E+00
0.0550 8.216 0.988251E+00 0.126067E-01 0.304077E-01 0.000000E+00 0.978593E+00 0.256458E-01 0.301105E-01 0.000000E+00
0.055010.000 0.957593E+00 0.117396E-01 0.276046E-01 0.000000E+00 0.948116E+00 0.240088E-01 0.273314E-01 0.000000E+00
0.055012.322 0.963105E+00 0.126374E-01 0.267000E-01 0.000000E+00 0.953329E+00 0.233371E-01 0.264289E-01 0.000000E+00
0.055015.370 0.977763E+00 0.120709E-01 0.334850E-01 0.000000E+00 0.966197E+00 0.228084E-01 0.330889E-01 0.000000E+00
0.055018.479 0.107374E+01 0.137308E-01 0.215322E+00 0.000000E+00 0.106197E+01 0.243739E-01 0.212963E+00 0.000000E+00
0.0700 1.706 0.102627E+01 0.197319E-01 0.121060E+00 0.000000E+00 0.101598E+01 0.382314E-01 0.119846E+00 0.000000E+00
0.0700 1.977 0.105882E+01 0.189338E-01 0.600615E-01 0.000000E+00 0.104982E+01 0.380849E-01 0.595509E-01 0.000000E+00
0.0700 2.333 0.881184E+00 0.141048E-01 0.315080E-01 0.000000E+00 0.873112E+00 0.306772E-01 0.312194E-01 0.000000E+00
0.0700 2.771 0.997349E+00 0.157322E-01 0.248271E-01 0.000000E+00 0.988010E+00 0.335519E-01 0.245947E-01 0.000000E+00
0.0700 3.231 0.985800E+00 0.150743E-01 0.267201E-01 0.000000E+00 0.977627E+00 0.322851E-01 0.264985E-01 0.000000E+00
0.0700 3.814 0.966353E+00 0.144270E-01 0.239192E-01 0.000000E+00 0.957563E+00 0.307803E-01 0.237016E-01 0.000000E+00
0.0700 4.585 0.917285E+00 0.126530E-01 0.248891E-01 0.000000E+00 0.909131E+00 0.283351E-01 0.246678E-01 0.000000E+00
0.0700 5.479 0.939144E+00 0.127748E-01 0.258602E-01 0.000000E+00 0.930795E+00 0.282589E-01 0.256303E-01 0.000000E+00
0.0700 6.750 0.958915E+00 0.127240E-01 0.249242E-01 0.000000E+00 0.950694E+00 0.280124E-01 0.247105E-01 0.000000E+00
