   X     Q^2  F2(Pb)EPS09/F2p S(F2(Pb)EPS09) statEPS09 F2(Pb)DSSZ  S(F2(Pb)DSSZ)   statDSSZ  syst  
 -----------------------------------------------------------------------------------------------------------
  0.22   5.0 0.852504E+00 0.103245E-01 0.144781E-01 0.863653E+00 0.185675E-01 0.146674E-01 (1+1.1)%
  0.30   5.0 0.820748E+00 0.548497E-02 0.129763E-01 0.828339E+00 0.171192E-01 0.130963E-01
  0.40   5.0 0.743662E+00 0.319868E-02 0.915277E-02 0.758761E+00 0.159990E-01 0.933860E-02
  0.50   5.0 0.658637E+00 0.403286E-02 0.794409E-02 0.676428E+00 0.141645E-01 0.815867E-02
  0.60   5.0 0.594340E+00 0.541603E-02 0.677697E-02 0.613454E+00 0.122870E-01 0.699491E-02
  0.70   5.0 0.535171E+00 0.505518E-02 0.634089E-02 0.553306E+00 0.104786E-01 0.655575E-02
  0.60  10.0 0.577937E+00 0.477202E-02 0.943021E-02 0.596731E+00 0.117240E-01 0.973687E-02
