  x       Q^2    y     F2(Ca)/F2(C)    stat.    syst.
------------------------------------------------------
0.0125	  3.4	0.73	  0.945       0.019     0.021
0.0175	  4.5	0.69	  0.939       0.016     0.022
0.025	  6.0	0.66	  0.971       0.011     0.010
0.035	  7.9	0.62	  0.970       0.011     0.011
0.045	  9.7	0.59	  0.994       0.011     0.013
0.055	 11.4	0.57	  1.004       0.012     0.017
0.07	 13.8	0.54	  0.994       0.009     0.010
0.09	 16.7	0.51	  1.018       0.010     0.017
0.125	 21.2	0.47	  1.003       0.007     0.008
0.175	 27.4	0.43	  1.019       0.009     0.012
0.25	 35.3	0.39	  1.013       0.009     0.011
0.35	 45.3	0.36	  1.020       0.015     0.025
0.45	 53.6	0.33	  0.964       0.024     0.030
0.55	 60.3	0.30	  0.968       0.042     0.049
0.7	 66.4	0.26      0.920       0.059     0.081
