   X     Q^2   y    F2(Pb)EPS09 S(F2(Pb)EPS09) statEPS09   systEPS09    F2(Pb)DSSZ   S(F2(Pb)DSSZ)  statDSSZ    systDSSZ  
 -----------------------------------------------------------------------------------------------------------------------
0.0125   3.4  0.73 0.324619E+00 0.851051E-02 0.737770E-02 0.126475E-01 0.323572E+00 0.177701E-01 0.735390E-02 0.126067E-01
0.0175   4.5  0.70 0.355774E+00 0.557618E-02 0.626753E-02 0.737356E-02 0.352645E+00 0.149808E-01 0.621240E-02 0.730871E-02
0.025    6.1  0.66 0.364671E+00 0.449077E-02 0.421807E-02 0.536845E-02 0.359549E+00 0.114834E-01 0.415882E-02 0.529305E-02
0.035    8.1  0.63 0.383837E+00 0.547739E-02 0.432160E-02 0.550022E-02 0.377110E+00 0.962573E-02 0.424587E-02 0.540383E-02
0.045   10.0  0.60 0.386623E+00 0.530396E-02 0.437087E-02 0.516558E-02 0.378628E+00 0.942413E-02 0.428048E-02 0.505875E-02
0.055   11.8  0.58 0.396060E+00 0.483033E-02 0.436103E-02 0.555040E-02 0.387395E+00 0.999867E-02 0.426561E-02 0.542895E-02
0.070   14.1  0.55 0.393267E+00 0.476432E-02 0.350436E-02 0.389373E-02 0.385716E+00 0.109797E-01 0.343707E-02 0.381897E-02
0.090   17.1  0.52 0.366944E+00 0.467782E-02 0.336646E-02 0.411456E-02 0.363408E+00 0.113566E-01 0.333402E-02 0.407492E-02
0.125   21.7  0.48 0.348593E+00 0.435518E-02 0.239465E-02 0.307884E-02 0.350589E+00 0.116502E-01 0.240836E-02 0.309647E-02
0.175   27.8  0.43 0.296965E+00 0.382285E-02 0.268073E-02 0.297859E-02 0.300028E+00 0.987260E-02 0.270838E-02 0.300931E-02
0.25    35.7  0.39 0.232683E+00 0.372072E-02 0.209206E-02 0.232451E-02 0.235925E+00 0.772353E-02 0.212120E-02 0.235689E-02
0.35    45.4  0.35 0.150773E+00 0.200152E-02 0.213214E-02 0.228443E-02 0.154382E+00 0.530160E-02 0.218319E-02 0.233913E-02
0.45    53.6  0.32 0.811459E-01 0.135096E-02 0.191752E-02 0.226616E-02 0.851799E-01 0.303770E-02 0.201284E-02 0.237882E-02
0.55    60.3  0.30 0.417706E-01 0.878706E-03 0.176193E-02 0.189085E-02 0.440481E-01 0.188671E-02 0.185800E-02 0.199395E-02
0.70    66.6  0.26 0.998945E-02 0.261815E-03 0.652161E-03 0.714271E-03 0.108589E-01 0.410301E-03 0.708921E-03 0.776437E-03
