   X     Q^2    y  F2(Pb)EPS09  S(F2(Pb)EPS09) statEPS09   systEPS09
 --------------------------------------------------------------------
0.0175   4.5  0.69 0.354601E+00 0.884172E-02 0.451500E-02 0.729346E-02
0.0450   9.8  0.59 0.397078E+00 0.767781E-02 0.393146E-02 0.511090E-02
0.0550  11.4  0.57 0.394138E+00 0.656357E-02 0.434856E-02 0.632518E-02
0.0700  13.8  0.54 0.392639E+00 0.603090E-02 0.313484E-02 0.391855E-02
0.0900  16.8  0.51 0.378597E+00 0.643787E-02 0.341420E-02 0.606970E-02
0.1250  21.4  0.47 0.345358E+00 0.548335E-02 0.243455E-02 0.278234E-02
0.1750  27.6  0.43 0.305199E+00 0.502560E-02 0.242462E-02 0.363693E-02
0.2500  35.5  0.39 0.236462E+00 0.411826E-02 0.188980E-02 0.236225E-02
0.3500  45.4  0.36 0.152578E+00 0.300192E-02 0.213396E-02 0.365821E-02
0.4500  53.9  0.33 0.846211E-01 0.237697E-02 0.197592E-02 0.249138E-02
0.5500  60.5  0.30 0.392622E-01 0.144292E-02 0.159058E-02 0.192544E-02
0.7000  66.7  0.26 0.100440E-01 0.455190E-03 0.614525E-03 0.826083E-03
