   X     Q^2    y  F2(Pb)EPS09  S(F2(Pb)EPS09) statEPS09   systEPS09
 --------------------------------------------------------------------
0.0125   3.2  0.71 0.314667E+00 0.777891E-02 0.391997E-02 0.142544E-01
0.0175   4.3  0.68 0.346175E+00 0.501029E-02 0.336092E-02 0.933589E-02
0.0250   5.6  0.62 0.367937E+00 0.430989E-02 0.229961E-02 0.498248E-02
0.0350   7.3  0.56 0.384746E+00 0.445673E-02 0.234363E-02 0.234363E-02
0.0450   8.6  0.50 0.387343E+00 0.408479E-02 0.235229E-02 0.156819E-02
0.0700  11.2  0.40 0.385501E+00 0.409363E-02 0.191411E-02 0.267975E-02
0.3500  25.1  0.15 0.167468E+00 0.201425E-02 0.116413E-02 0.182934E-02
0.4500  32.0  0.15 0.953317E-01 0.139224E-02 0.116733E-02 0.116733E-02
0.5500  43.9  0.16 0.475402E-01 0.866391E-03 0.133246E-02 0.199869E-02
0.7000  56.8  0.24 0.983953E-02 0.230061E-03 0.431758E-03 0.681723E-03
