   X     Q^2 F2(Pb)EPS09  S(F2(Pb)EPS09) statEPS09 systEPS09
 ------------------------------------------------------------
0.1300  2.00 0.340162E+00 0.436107E-02 0.461013E-02 (1+0.7)%
0.2200  2.00 0.303771E+00 0.426916E-02 0.421486E-02
0.3000  2.00 0.264240E+00 0.324731E-02 0.368462E-02
0.4000  2.00 0.195647E+00 0.251889E-02 0.282668E-02
0.5000  2.00 0.125570E+00 0.236013E-02 0.148683E-02
0.2200  5.00 0.285674E+00 0.331753E-02 0.341103E-02
0.3000  5.00 0.236980E+00 0.342797E-02 0.354761E-02
0.4000  5.00 0.164146E+00 0.223778E-02 0.151519E-02
0.5000  5.00 0.975971E-01 0.194152E-02 0.105056E-02
0.4000 10.00 0.144620E+00 0.197860E-02 0.194825E-02
0.5000 10.00 0.841820E-01 0.168002E-02 0.161371E-02
0.7000 10.00 0.162977E-01 0.486904E-03 0.311654E-03
0.6000 15.00 0.376188E-01 0.103515E-02 0.654239E-03
