   X     Q^2    y  F2(Pb)EPS09  S(F2(Pb)EPS09) statEPS09   systEPS09
 --------------------------------------------------------------------
0.0125   3.4  0.73 0.331385E+00 0.965819E-02 0.647104E-02 0.681162E-02
0.0175   4.5  0.69 0.352220E+00 0.637395E-02 0.576230E-02 0.576230E-02
0.0250   6.1  0.66 0.365821E+00 0.544583E-02 0.415277E-02 0.528534E-02
0.0350   8.0  0.62 0.376958E+00 0.615585E-02 0.427038E-02 0.504682E-02
0.0450   9.8  0.59 0.386717E+00 0.620586E-02 0.473049E-02 0.591311E-02
0.0550  11.6  0.57 0.395217E+00 0.588373E-02 0.513783E-02 0.513783E-02
0.0700  13.9  0.54 0.393281E+00 0.499394E-02 0.389387E-02 0.389387E-02
0.0900  16.9  0.51 0.374918E+00 0.499900E-02 0.411998E-02 0.411998E-02
0.1250  21.3  0.47 0.343611E+00 0.466541E-02 0.274066E-02 0.308325E-02
0.1750  27.4  0.43 0.303479E+00 0.441798E-02 0.298406E-02 0.328246E-02
0.2500  35.5  0.39 0.232324E+00 0.338782E-02 0.232556E-02 0.372090E-02
0.3500  45.3  0.35 0.147857E+00 0.233065E-02 0.240663E-02 0.391078E-02
0.4500  52.9  0.32 0.868171E-01 0.174580E-02 0.239260E-02 0.307620E-02
0.5500  58.2  0.29 0.376118E-01 0.970969E-03 0.180503E-02 0.243470E-02
0.7000  63.9  0.25 0.992553E-02 0.321050E-03 0.715444E-03 0.896824E-03
