   X     Q^2   y    F2(Pb)EPS09 S(F2(Pb)EPS09) statEPS09   systEPS09    F2(Pb)DSSZ   S(F2(Pb)DSSZ)  statDSSZ    systDSSZ  
 -----------------------------------------------------------------------------------------------------------------------
0.0085   1.8  0.59 0.266808E+00 0.183730E-01 0.303191E-02 0.385880E-02 0.270951E+00 0.223737E-01 0.307899E-02 0.391871E-02
0.0125   2.4  0.53 0.289119E+00 0.133752E-01 0.272469E-02 0.333017E-02 0.292722E+00 0.178234E-01 0.275864E-02 0.337167E-02
0.0175   3.0  0.47 0.314761E+00 0.983142E-02 0.288478E-02 0.288478E-02 0.318497E+00 0.149914E-01 0.291901E-02 0.291901E-02
0.025    3.8  0.42 0.333201E+00 0.708983E-02 0.270345E-02 0.270345E-02 0.335735E+00 0.121023E-01 0.272401E-02 0.272401E-02
0.035    4.7  0.37 0.349194E+00 0.685253E-02 0.317128E-02 0.246655E-02 0.350479E+00 0.101224E-01 0.318296E-02 0.247563E-02
0.045    5.6  0.34 0.362574E+00 0.686427E-02 0.361489E-02 0.253043E-02 0.364042E+00 0.989616E-02 0.362954E-02 0.254067E-02
0.055    6.3  0.31 0.369296E+00 0.627033E-02 0.404204E-02 0.257221E-02 0.367584E+00 0.100415E-01 0.402331E-02 0.256029E-02
0.070    7.3  0.29 0.365328E+00 0.619945E-02 0.332116E-02 0.221411E-02 0.362575E+00 0.104872E-01 0.329614E-02 0.219742E-02
0.090    8.7  0.26 0.369750E+00 0.632022E-02 0.362145E-02 0.217287E-02 0.369056E+00 0.112836E-01 0.361465E-02 0.216879E-02
0.125   11.0  0.24 0.339858E+00 0.506585E-02 0.272432E-02 0.204324E-02 0.342059E+00 0.105613E-01 0.274195E-02 0.205647E-02
0.175   14.0  0.22 0.308824E+00 0.609179E-02 0.333372E-02 0.151533E-02 0.312294E+00 0.888485E-02 0.337118E-02 0.153236E-02
0.25    19.0  0.21 0.241568E+00 0.351041E-02 0.266792E-02 0.121269E-02 0.245501E+00 0.642889E-02 0.271136E-02 0.123243E-02
0.35    24.0  0.19 0.160070E+00 0.368531E-02 0.308139E-02 0.810891E-03 0.167345E+00 0.457508E-02 0.322143E-02 0.847745E-03
0.45    31.0  0.19 0.870622E-01 0.305111E-02 0.272952E-02 0.470606E-03 0.941821E-01 0.276916E-02 0.295274E-02 0.509092E-03
0.55    38.0  0.19 0.443695E-01 0.218426E-02 0.237694E-02 0.233033E-03 0.492835E-01 0.183500E-02 0.264019E-02 0.258842E-03
0.65    44.0  0.18 0.201038E-01 0.115695E-02 0.162435E-02 0.955502E-04 0.228195E-01 0.866090E-03 0.184378E-02 0.108458E-03
