   X     Q^2  F2(Pb)EPS09 S(F2(Pb)EPS09) statEPS09   F2(Pb)DSSZ  S(F2(Pb)DSSZ)   statDSSZ  syst  
 ---------------------------------------------------------------------------------------------------
  0.13   2.0 0.344485E+00 0.795977E-02 0.730827E-02 0.347836E+00 0.127873E-01 0.737936E-02 (1+2.2)%
  0.22   2.0 0.305051E+00 0.816852E-02 0.636787E-02 0.308525E+00 0.954332E-02 0.644038E-02
  0.30   2.0 0.268000E+00 0.383358E-02 0.526523E-02 0.271987E+00 0.791160E-02 0.534356E-02
  0.40   2.0 0.193638E+00 0.472190E-02 0.395584E-02 0.202303E+00 0.614656E-02 0.413285E-02
  0.50   2.0 0.122069E+00 0.456549E-02 0.259171E-02 0.132501E+00 0.420883E-02 0.281318E-02
  0.22   5.0 0.282804E+00 0.497778E-02 0.601710E-02 0.286631E+00 0.819261E-02 0.609854E-02
  0.30   5.0 0.231596E+00 0.446975E-02 0.492757E-02 0.236795E+00 0.655701E-02 0.503819E-02
  0.40   5.0 0.161458E+00 0.411046E-02 0.312393E-02 0.169920E+00 0.497465E-02 0.328766E-02
  0.50   5.0 0.949277E-01 0.371607E-02 0.180624E-02 0.103662E+00 0.321285E-02 0.197243E-02
  0.50   5.0 0.964329E-01 0.377499E-02 0.200693E-02 0.105306E+00 0.326380E-02 0.219159E-02
  0.60   5.0 0.489603E-01 0.257944E-02 0.832482E-03 0.551547E-01 0.186978E-02 0.937806E-03
  0.70   5.0 0.199917E-01 0.117569E-02 0.391994E-03 0.228046E-01 0.915699E-03 0.447150E-03
  0.40  10.0 0.139852E+00 0.377315E-02 0.306564E-02 0.147841E+00 0.425885E-02 0.324078E-02
  0.50  10.0 0.810000E-01 0.329632E-02 0.205497E-02 0.886883E-01 0.272997E-02 0.225002E-02
  0.60  10.0 0.398790E-01 0.214000E-02 0.851207E-03 0.449922E-01 0.152535E-02 0.960345E-03
  0.70  10.0 0.161594E-01 0.947670E-03 0.443659E-03 0.183754E-01 0.759501E-03 0.504499E-03
  0.80  10.0 0.469144E-02 0.349428E-03 0.118646E-03 0.498246E-02 0.278622E-03 0.126005E-03
  0.60  15.0 0.357617E-01 0.193506E-02 0.882532E-03 0.403498E-01 0.137636E-02 0.995756E-03
