   X     Q^2    F2(Pb)EPS09  S(F2(Pb)EPS09) statEPS09   systEPS09
 ----------------------------------------------------------------
0.0125  1.80 0.265468E+00 0.689292E-02 0.424264E-02 0.103035E-01
0.0125  2.30 0.272834E+00 0.695340E-02 0.617860E-02 0.113816E-01
0.0125  2.80 0.302740E+00 0.738595E-02 0.652901E-02 0.120271E-01
0.0125  3.50 0.325036E+00 0.806189E-02 0.547814E-02 0.153388E-01
0.0125  4.50 0.352036E+00 0.872082E-02 0.507368E-02 0.187336E-01
0.0125  5.50 0.380367E+00 0.916170E-02 0.781295E-02 0.230276E-01
0.0125  7.00 0.405499E+00 0.992118E-02 0.261612E-01 0.305214E-01
0.0175  1.80 0.265482E+00 0.498720E-02 0.482694E-02 0.693873E-02
0.0175  2.30 0.287516E+00 0.492958E-02 0.481870E-02 0.578243E-02
0.0175  2.80 0.309894E+00 0.493431E-02 0.572630E-02 0.875788E-02
0.0175  3.50 0.336053E+00 0.543629E-02 0.497856E-02 0.960150E-02
0.0175  4.50 0.351400E+00 0.528649E-02 0.528421E-02 0.105684E-01
0.0175  5.50 0.363404E+00 0.533942E-02 0.513505E-02 0.130351E-01
0.0175  7.00 0.391242E+00 0.553086E-02 0.499990E-02 0.154164E-01
0.0175  9.00 0.425568E+00 0.618914E-02 0.219365E-01 0.263238E-01
0.0250  1.80 0.283997E+00 0.445875E-02 0.545565E-02 0.818347E-02
0.0250  2.30 0.296760E+00 0.424012E-02 0.415273E-02 0.638881E-02
0.0250  2.80 0.314529E+00 0.426174E-02 0.433144E-02 0.433144E-02
0.0250  3.50 0.335461E+00 0.415599E-02 0.314168E-02 0.453798E-02
0.0250  4.50 0.348217E+00 0.434377E-02 0.366930E-02 0.477010E-02
0.0250  5.50 0.367039E+00 0.433261E-02 0.458322E-02 0.534709E-02
0.0250  7.00 0.388855E+00 0.459864E-02 0.319716E-02 0.599468E-02
0.0250  9.00 0.410899E+00 0.460996E-02 0.418857E-02 0.879599E-02
0.0250 11.50 0.428830E+00 0.523320E-02 0.699416E-02 0.135512E-01
0.0350  1.80 0.301065E+00 0.530834E-02 0.921627E-02 0.921627E-02
0.0350  2.30 0.306070E+00 0.514549E-02 0.644358E-02 0.966537E-02
0.0350  2.80 0.321748E+00 0.556049E-02 0.567987E-02 0.334110E-02
0.0350  3.50 0.337139E+00 0.488863E-02 0.381536E-02 0.208110E-02
0.0350  4.50 0.350555E+00 0.441383E-02 0.397127E-02 0.324922E-02
0.0350  5.50 0.359718E+00 0.404917E-02 0.410892E-02 0.485600E-02
0.0350  7.00 0.380299E+00 0.431516E-02 0.349254E-02 0.232836E-02
0.0350  9.00 0.402022E+00 0.471963E-02 0.363273E-02 0.605455E-02
0.0350 11.50 0.416651E+00 0.528802E-02 0.376492E-02 0.460157E-02
0.0350 15.00 0.430920E+00 0.628433E-02 0.607540E-02 0.694332E-02
0.0350 20.00 0.414066E+00 0.658646E-02 0.450072E-01 0.315050E-01
0.0450  1.80 0.299482E+00 0.663977E-02 0.124784E-01 0.405548E-01
0.0450  2.30 0.317680E+00 0.683892E-02 0.982516E-02 0.982516E-02
0.0450  2.80 0.330936E+00 0.711279E-02 0.742161E-02 0.640957E-02
0.0450  3.50 0.337999E+00 0.584491E-02 0.486329E-02 0.764232E-02
0.0450  4.50 0.359186E+00 0.455548E-02 0.466942E-02 0.574698E-02
0.0450  5.50 0.361572E+00 0.349725E-02 0.443194E-02 0.147731E-02
0.0450  7.00 0.371394E+00 0.369008E-02 0.344237E-02 0.611978E-02
