   X     Q^2 F2(Pb)EPS09  S(F2(Pb)EPS09) statEPS09 systEPS09
 -----------------------------------------------------------
0.1300  2.00 0.342170E+00 0.614179E-03 0.463735E-02 (1+2.3)%
0.2200  2.00 0.308339E+00 0.168641E-02 0.427824E-02
0.3000  2.00 0.271569E+00 0.517132E-03 0.378682E-02
0.4000  2.00 0.205977E+00 0.186780E-03 0.297593E-02
0.5000  2.00 0.136215E+00 0.247213E-03 0.161288E-02
0.2200  5.00 0.291790E+00 0.132280E-02 0.348406E-02
0.3000  5.00 0.244073E+00 0.419637E-03 0.365379E-02
0.4000  5.00 0.173938E+00 0.178996E-03 0.160558E-02
0.5000  5.00 0.106540E+00 0.128592E-03 0.114683E-02
0.6000  5.00 0.562921E-01 0.843241E-04 0.435890E-03
0.7000  5.00 0.238126E-01 0.393572E-04 0.215255E-03
0.4000 10.00 0.153828E+00 0.135973E-03 0.207230E-02
0.5000 10.00 0.921568E-01 0.100827E-03 0.176658E-02
0.6000 10.00 0.454172E-01 0.580286E-04 0.664144E-03
0.7000 10.00 0.187052E-01 0.210371E-04 0.357691E-03
0.8000 10.00 0.569609E-02 0.200978E-04 0.105159E-03
0.6000 15.00 0.424148E-01 0.718917E-04 0.737649E-03
