   X     Q^2    F2(Pb)EPS09  S(F2(Pb)EPS09) statEPS09   systEPS09
 ----------------------------------------------------------------
0.031   5.10 0.338034E+00 0.428644E-02 0.157481E-01 0.805716E-02
0.050   7.80 0.387375E+00 0.486826E-02 0.132923E-01 0.759558E-02
0.078  11.40 0.373913E+00 0.440616E-02 0.100755E-01 0.709016E-02
0.123  14.40 0.355102E+00 0.357403E-02 0.108843E-01 0.646258E-02
0.173  17.30 0.299373E+00 0.344325E-02 0.111324E-01 0.541579E-02
0.243  20.20 0.235856E+00 0.307027E-02 0.788653E-02 0.443617E-02
0.343  24.10 0.151506E+00 0.245528E-02 0.755850E-02 0.285543E-02
0.442  29.80 0.908433E-01 0.218527E-02 0.694921E-02 0.171212E-02
0.564  33.60 0.384278E-01 0.139018E-02 0.391313E-02 0.703484E-03
