   X     Q^2  F2pbeps09S(F2pbeps09) F2Aeps09 S(F2Apbeps09) factoreps09 erfactoreps09 F2pbdssz S(F2pbdssz) F2Adssz S(F2Adssz) factordssz erfactordssz
0.0055 1.904 0.269611E+00 0.230456E-01 0.332694E+00 0.191814E-01 0.310113E+00 0.182849E-01 0.274143E+00 0.275634E-01 0.356876E+00 0.597943E-02 0.293959E+00 0.291684E-01
0.0085 1.698 0.258723E+00 0.166088E-01 0.312119E+00 0.121806E-01 0.292050E+00 0.131278E-01 0.261512E+00 0.223068E-01 0.330217E+00 0.471709E-02 0.279020E+00 0.234385E-01
0.0085 1.932 0.271621E+00 0.166245E-01 0.324344E+00 0.126971E-01 0.304968E+00 0.132447E-01 0.274252E+00 0.222242E-01 0.342214E+00 0.470258E-02 0.291843E+00 0.232575E-01
0.0085 2.296 0.290291E+00 0.167997E-01 0.342495E+00 0.136092E-01 0.323604E+00 0.132175E-01 0.292478E+00 0.222628E-01 0.359900E+00 0.472979E-02 0.310274E+00 0.231850E-01
0.0085 2.711 0.309094E+00 0.169927E-01 0.360404E+00 0.144724E-01 0.342569E+00 0.131545E-01 0.310989E+00 0.222669E-01 0.377665E+00 0.476667E-02 0.328916E+00 0.230719E-01
0.0125 1.706 0.262962E+00 0.119461E-01 0.307299E+00 0.772637E-02 0.290394E+00 0.950027E-02 0.264374E+00 0.182814E-01 0.320620E+00 0.377055E-02 0.279823E+00 0.190494E-01
0.0125 1.929 0.273741E+00 0.117811E-01 0.317589E+00 0.791185E-02 0.301022E+00 0.952276E-02 0.274991E+00 0.182138E-01 0.330645E+00 0.375847E-02 0.290455E+00 0.189076E-01
0.0125 2.305 0.290386E+00 0.117295E-01 0.333754E+00 0.842056E-02 0.317331E+00 0.935205E-02 0.291088E+00 0.182138E-01 0.346208E+00 0.377596E-02 0.306655E+00 0.188189E-01
0.0125 2.721 0.306429E+00 0.116196E-01 0.348964E+00 0.883263E-02 0.333338E+00 0.925737E-02 0.306811E+00 0.181788E-01 0.361236E+00 0.380269E-02 0.322415E+00 0.186923E-01
0.0125 3.231 0.323397E+00 0.116489E-01 0.365133E+00 0.945415E-02 0.350165E+00 0.925415E-02 0.323416E+00 0.181617E-01 0.377131E+00 0.385193E-02 0.339044E+00 0.185818E-01
0.0125 3.814 0.339972E+00 0.117878E-01 0.381228E+00 0.997230E-02 0.366469E+00 0.925166E-02 0.339591E+00 0.182050E-01 0.392798E+00 0.392294E-02 0.355277E+00 0.185453E-01
0.0125 4.312 0.352449E+00 0.120069E-01 0.393381E+00 0.105106E-01 0.378744E+00 0.948741E-02 0.352055E+00 0.182042E-01 0.404708E+00 0.398426E-02 0.367732E+00 0.184780E-01
0.0175 1.706 0.267860E+00 0.873871E-02 0.304805E+00 0.547511E-02 0.290444E+00 0.703521E-02 0.268574E+00 0.153545E-01 0.314683E+00 0.311379E-02 0.282077E+00 0.159380E-01
0.0175 1.941 0.278056E+00 0.849877E-02 0.314547E+00 0.543137E-02 0.300366E+00 0.704825E-02 0.278598E+00 0.152504E-01 0.324124E+00 0.308577E-02 0.292059E+00 0.157711E-01
0.0175 2.291 0.291658E+00 0.834130E-02 0.327504E+00 0.549201E-02 0.313719E+00 0.681958E-02 0.291689E+00 0.151939E-01 0.336715E+00 0.307924E-02 0.305170E+00 0.156516E-01
0.0175 2.704 0.305579E+00 0.813656E-02 0.340695E+00 0.570270E-02 0.327411E+00 0.665560E-02 0.305283E+00 0.150962E-01 0.349635E+00 0.307861E-02 0.318730E+00 0.154837E-01
0.0175 3.231 0.320959E+00 0.804026E-02 0.355224E+00 0.588661E-02 0.342361E+00 0.640661E-02 0.320115E+00 0.149902E-01 0.363703E+00 0.309444E-02 0.333500E+00 0.153028E-01
0.0175 3.884 0.337052E+00 0.801960E-02 0.370772E+00 0.613438E-02 0.357797E+00 0.657970E-02 0.335576E+00 0.149324E-01 0.378523E+00 0.313433E-02 0.348934E+00 0.151766E-01
0.0175 4.585 0.351912E+00 0.803306E-02 0.384987E+00 0.644839E-02 0.372082E+00 0.661215E-02 0.350000E+00 0.148394E-01 0.392181E+00 0.318169E-02 0.363273E+00 0.150155E-01
0.0175 5.379 0.366436E+00 0.799400E-02 0.398811E+00 0.678023E-02 0.386071E+00 0.662796E-02 0.363766E+00 0.148126E-01 0.405419E+00 0.324376E-02 0.377012E+00 0.149338E-01
0.0175 6.194 0.379354E+00 0.804708E-02 0.411061E+00 0.703507E-02 0.398575E+00 0.659105E-02 0.376128E+00 0.147772E-01 0.417246E+00 0.330750E-02 0.389328E+00 0.148481E-01
0.0250 1.706 0.275817E+00 0.735937E-02 0.304930E+00 0.465740E-02 0.293686E+00 0.570961E-02 0.276175E+00 0.128921E-01 0.312030E+00 0.263633E-02 0.287377E+00 0.133906E-01
0.0250 1.941 0.284606E+00 0.721825E-02 0.313432E+00 0.443827E-02 0.302286E+00 0.563437E-02 0.285183E+00 0.127200E-01 0.320440E+00 0.257674E-02 0.296275E+00 0.131725E-01
0.0250 2.305 0.296983E+00 0.698958E-02 0.325061E+00 0.440346E-02 0.314247E+00 0.546968E-02 0.296994E+00 0.125712E-01 0.331656E+00 0.253079E-02 0.308008E+00 0.129780E-01
0.0250 2.721 0.309032E+00 0.688351E-02 0.336395E+00 0.441903E-02 0.325823E+00 0.532632E-02 0.308634E+00 0.123822E-01 0.342581E+00 0.248691E-02 0.319526E+00 0.127413E-01
0.0250 3.231 0.321698E+00 0.685601E-02 0.348218E+00 0.425709E-02 0.337937E+00 0.525552E-02 0.320738E+00 0.121863E-01 0.353928E+00 0.245394E-02 0.331493E+00 0.124980E-01
0.0250 3.814 0.334276E+00 0.666845E-02 0.360021E+00 0.462941E-02 0.349691E+00 0.511567E-02 0.332375E+00 0.120351E-01 0.364930E+00 0.243975E-02 0.343024E+00 0.123082E-01
0.0250 4.585 0.348255E+00 0.667813E-02 0.372957E+00 0.441283E-02 0.363019E+00 0.509102E-02 0.345629E+00 0.118214E-01 0.377326E+00 0.243010E-02 0.356110E+00 0.120477E-01
0.0250 5.512 0.362544E+00 0.638816E-02 0.386197E+00 0.462253E-02 0.376430E+00 0.478766E-02 0.358769E+00 0.116586E-01 0.389745E+00 0.243922E-02 0.369119E+00 0.118470E-01
0.0250 6.627 0.376491E+00 0.674939E-02 0.399616E+00 0.485113E-02 0.389369E+00 0.520089E-02 0.371959E+00 0.115011E-01 0.402227E+00 0.246164E-02 0.382185E+00 0.116527E-01
0.0250 8.066 0.391927E+00 0.699614E-02 0.414430E+00 0.509153E-02 0.403310E+00 0.489796E-02 0.386137E+00 0.113293E-01 0.415618E+00 0.249683E-02 0.396215E+00 0.114438E-01
0.0250 9.233 0.402440E+00 0.679248E-02 0.424671E+00 0.521486E-02 0.412726E+00 0.516216E-02 0.395821E+00 0.112281E-01 0.424805E+00 0.252806E-02 0.405810E+00 0.113202E-01
0.0350 1.706 0.286629E+00 0.857493E-02 0.308054E+00 0.538761E-02 0.300595E+00 0.556962E-02 0.287671E+00 0.113776E-01 0.313710E+00 0.248317E-02 0.296248E+00 0.118402E-01
0.0350 1.941 0.295239E+00 0.833976E-02 0.315583E+00 0.515686E-02 0.308991E+00 0.541118E-02 0.295764E+00 0.111469E-01 0.321173E+00 0.239607E-02 0.304153E+00 0.115811E-01
0.0350 2.305 0.306038E+00 0.829604E-02 0.326190E+00 0.493486E-02 0.318644E+00 0.570108E-02 0.306010E+00 0.109301E-01 0.330752E+00 0.231750E-02 0.314220E+00 0.113382E-01
