   X     Q^2 F2(Pb)EPS09  S(F2(Pb)EPS09) statEPS09 systEPS09
 -----------------------------------------------------------
0.0800 92.00 0.333289E+00 0.264471E-02 0.633882E-02 (1+1.0)%
0.1300  2.00 0.342936E+00 0.288022E-02 0.461202E-02
0.2200  2.00 0.305028E+00 0.486081E-02 0.420728E-02
0.3000  2.00 0.265476E+00 0.405196E-02 0.345119E-02
0.4000  2.00 0.193628E+00 0.158199E-02 0.265803E-02
0.5000  2.00 0.124948E+00 0.157315E-02 0.151871E-02
0.1400  5.00 0.346408E+00 0.313426E-02 0.984114E-02
0.2200  5.00 0.289881E+00 0.301077E-02 0.372377E-02
0.3000  5.00 0.240191E+00 0.126689E-02 0.333930E-02
0.3000  5.00 0.233989E+00 0.123418E-02 0.357782E-02
0.4000  5.00 0.165341E+00 0.137185E-02 0.153726E-02
0.5000  5.00 0.989539E-01 0.121554E-02 0.968027E-03
0.5000  5.00 0.976632E-01 0.119968E-02 0.129070E-02
0.6000  5.00 0.503785E-01 0.887316E-03 0.400284E-03
0.7000  5.00 0.206489E-01 0.405434E-03 0.194571E-03
0.7000  5.00 0.206732E-01 0.405912E-03 0.340499E-03
0.3000 10.00 0.207174E+00 0.202934E-02 0.461852E-02
0.4000 10.00 0.142243E+00 0.119631E-02 0.182558E-02
0.5000 10.00 0.790208E-01 0.102368E-02 0.147015E-02
0.6000 10.00 0.399598E-01 0.690514E-03 0.515308E-03
0.7000 10.00 0.164744E-01 0.322566E-03 0.304377E-03
0.8000 10.00 0.509952E-02 0.134941E-03 0.908719E-04
0.6000 15.00 0.366278E-01 0.645069E-03 0.549206E-03
