   X     Q^2    F2(Pb)EPS09  S(F2(Pb)EPS09) statEPS09   systEPS09
 ----------------------------------------------------------------
0.0310  4.50 0.344674E+00 0.211125E-02 0.926542E-02 0.815357E-02
0.0500  8.50 0.368601E+00 0.240991E-02 0.771938E-02 0.733341E-02
0.0790 13.60 0.372899E+00 0.251301E-02 0.599035E-02 0.673915E-02
0.1230 18.10 0.354785E+00 0.238017E-02 0.643831E-02 0.643831E-02
0.1730 21.30 0.305668E+00 0.227120E-02 0.658638E-02 0.538886E-02
0.2440 24.70 0.253960E+00 0.225935E-02 0.514288E-02 0.465308E-02
0.3420 30.00 0.160769E+00 0.104334E-02 0.493365E-02 0.289214E-02
0.4430 34.40 0.988807E-01 0.954083E-03 0.464956E-02 0.185983E-02
0.5630 40.40 0.420194E-01 0.631453E-03 0.443281E-02 0.784977E-03
0.0150  4.50 0.342410E+00 0.267241E-02 0.878999E-02 0.918954E-02
0.0310  3.30 0.339098E+00 0.230631E-02 0.457765E-02 0.633829E-02
0.0500  6.40 0.377641E+00 0.276791E-02 0.450914E-02 0.488491E-02
0.0790  8.50 0.368931E+00 0.302187E-02 0.401408E-02 0.401408E-02
0.1230 11.00 0.353314E+00 0.220784E-02 0.543038E-02 0.339399E-02
0.1730 16.10 0.311103E+00 0.187597E-02 0.362098E-02 0.331924E-02
0.2430 19.30 0.254711E+00 0.264527E-02 0.350290E-02 0.250207E-02
0.3430 25.80 0.165528E+00 0.109519E-02 0.361340E-02 0.189273E-02
0.4440 36.00 0.979071E-01 0.949390E-03 0.347116E-02 0.132721E-02
0.6120 46.40 0.276952E-01 0.471394E-03 0.129727E-02 0.392198E-03
