  x       Q^2   F2(Sn)/F2(C)    stat.    syst.
------------------------------------------------------
0.0125	  1.3	  0.858	        0.017	 0.022
0.0125	  1.8	  0.876	        0.014	 0.034
0.0125    2.3     0.839	        0.019	 0.035
0.0125	  2.8	  0.881	        0.019	 0.035
0.0125	  3.5	  0.890	        0.015    0.042
0.0125	  4.5	  0.902	        0.013	 0.048
0.0125	  5.5	  0.925	        0.019	 0.056
0.0125	  7.0	  0.930	        0.060	 0.070
0.0175    1.3	  0.830		0.03	 0.100
0.0175	  1.8	  0.880 	0.016	 0.023
0.0175	  2.3	  0.895		0.015	 0.018
0.0175	  2.8	  0.920		0.017	 0.026
0.0175	  3.5	  0.945		0.014	 0.027
0.0175	  4.5     0.931		0.014	 0.028
0.0175	  5.5	  0.920		0.013	 0.033
0.0175	  7.0	  0.939		0.012	 0.037
0.0175	  9.0	  0.970		0.05	 0.060
0.025     1.8	  0.937		0.018	 0.027
0.025	  2.3	  0.929		0.013	 0.02
0.025	  2.8	  0.944		0.013	 0.013
0.025	  3.5	  0.961		0.009	 0.013
0.025	  4.5	  0.949		0.010	 0.013
0.025	  5.5	  0.961		0.012	 0.014
0.025	  7.0	  0.973		0.008	 0.015
0.025	  9.0	  0.981		0.010	 0.021
0.025	  11.5	  0.981		0.016	 0.031
0.035 	  1.8	  0.980		0.030	 0.030
0.035     2.3	  0.950		0.020	 0.030
0.035     2.8	  0.963		0.017	 0.010
0.035     3.5	  0.972		0.011	 0.006
0.035     4.5	  0.971		0.011	 0.009
0.035     5.5	  0.963		0.011	 0.013
0.035     7.0	  0.980		0.009	 0.006
0.035     9.0	  0.996		0.009	 0.015
0.035     11.5	  0.996		0.009	 0.011
0.035     15.0	  0.993		0.014	 0.016
0.035     20.0	  0.920		0.100	 0.070
0.045 	  1.8	  0.96		0.04	 0.13
0.045  	  2.3	  0.97		0.03	 0.03
0.045  	  2.8	  0.981		0.022	 0.019
0.045  	  3.5	  0.973		0.014	 0.022
0.045  	  4.5	  1.0		0.013	 0.016
0.045  	  5.5	  0.979		0.012	 0.004
0.045  	  7.0	  0.971   	0.009	 0.016
0.045  	  9.0	  1.01		0.011	 0.019
