   X     Q^2    F2(Pb)DSSZ  S(F2(Pb)DSSZ) statDSSZ   systDSSZ
 ----------------------------------------------------------------
0.0125  1.80 0.266780E+00 0.115852E-01 0.426361E-02 0.103545E-01
0.0125  2.30 0.273458E+00 0.109514E-01 0.619274E-02 0.114077E-01
0.0125  2.80 0.303147E+00 0.113875E-01 0.653778E-02 0.120433E-01
0.0125  3.50 0.324927E+00 0.114540E-01 0.547630E-02 0.153336E-01
0.0125  4.50 0.351488E+00 0.115662E-01 0.506579E-02 0.187045E-01
0.0125  5.50 0.378898E+00 0.119020E-01 0.778278E-02 0.229387E-01
0.0125  7.00 0.403626E+00 0.120514E-01 0.260404E-01 0.303804E-01
0.0175  1.30 0.231235E+00 0.934511E-02 0.835790E-02 0.278597E-01
0.0175  1.80 0.265768E+00 0.957951E-02 0.483214E-02 0.694620E-02
0.0175  2.30 0.287044E+00 0.956761E-02 0.481080E-02 0.577296E-02
0.0175  2.80 0.309427E+00 0.968753E-02 0.571767E-02 0.874468E-02
0.0175  3.50 0.334788E+00 0.983412E-02 0.495982E-02 0.956537E-02
0.0175  4.50 0.349260E+00 0.955993E-02 0.525204E-02 0.105041E-01
0.0175  5.50 0.360602E+00 0.940827E-02 0.509546E-02 0.129346E-01
0.0175  7.00 0.387293E+00 0.957343E-02 0.494943E-02 0.152607E-01
0.0175  9.00 0.421035E+00 0.988288E-02 0.217028E-01 0.260434E-01
0.0250  1.80 0.283679E+00 0.846870E-02 0.544954E-02 0.817431E-02
0.0250  2.30 0.296359E+00 0.813907E-02 0.414712E-02 0.638018E-02
0.0250  2.80 0.313612E+00 0.805419E-02 0.431881E-02 0.431881E-02
0.0250  3.50 0.333663E+00 0.799237E-02 0.312483E-02 0.451365E-02
0.0250  4.50 0.345788E+00 0.765354E-02 0.364371E-02 0.473682E-02
0.0250  5.50 0.363356E+00 0.760484E-02 0.453723E-02 0.529343E-02
0.0250  7.00 0.384045E+00 0.753802E-02 0.315761E-02 0.592052E-02
0.0250  9.00 0.404251E+00 0.744548E-02 0.412081E-02 0.865370E-02
0.0250 11.50 0.420696E+00 0.733433E-02 0.686151E-02 0.132942E-01
0.0350  1.80 0.301422E+00 0.789523E-02 0.922719E-02 0.922719E-02
0.0350  2.30 0.305570E+00 0.732544E-02 0.643304E-02 0.964957E-02
0.0350  2.80 0.320410E+00 0.715988E-02 0.565626E-02 0.332721E-02
0.0350  4.50 0.348442E+00 0.665533E-02 0.394734E-02 0.322964E-02
0.0350  5.50 0.356082E+00 0.640497E-02 0.406739E-02 0.480692E-02
0.0350  9.00 0.394774E+00 0.614590E-02 0.356724E-02 0.594540E-02
0.0350 11.50 0.407705E+00 0.593968E-02 0.368408E-02 0.450276E-02
0.0350 15.00 0.420269E+00 0.570053E-02 0.592524E-02 0.677170E-02
0.0350 20.00 0.402773E+00 0.508573E-02 0.437796E-01 0.306458E-01
0.0450  1.80 0.301697E+00 0.771178E-02 0.125707E-01 0.408548E-01
0.0450  2.30 0.316790E+00 0.746698E-02 0.979764E-02 0.979764E-02
0.0450  2.80 0.329621E+00 0.729625E-02 0.739212E-02 0.638410E-02
0.0450  3.50 0.336926E+00 0.699417E-02 0.484786E-02 0.761806E-02
0.0450  4.50 0.357585E+00 0.690030E-02 0.464860E-02 0.572136E-02
0.0450  5.50 0.358707E+00 0.657269E-02 0.439682E-02 0.146561E-02
0.0450  7.00 0.365930E+00 0.630352E-02 0.339173E-02 0.602974E-02
0.0450  9.00 0.391458E+00 0.633292E-02 0.426340E-02 0.736406E-02
0.0450 11.50 0.398615E+00 0.608652E-02 0.358038E-02 0.238692E-02
0.0450 15.00 0.405852E+00 0.582080E-02 0.408713E-02 0.245228E-02
0.0450 20.00 0.424233E+00 0.571509E-02 0.756059E-02 0.546043E-02
0.0550  2.30 0.320637E+00 0.765692E-02 0.991662E-02 0.132222E-01
0.0550  2.80 0.314907E+00 0.712101E-02 0.101583E-01 0.135444E-01
0.0550  3.50 0.353490E+00 0.756875E-02 0.590307E-02 0.277792E-02
0.0550  4.50 0.361921E+00 0.729267E-02 0.570516E-02 0.998404E-02
0.0550  5.50 0.365930E+00 0.706744E-02 0.545621E-02 0.254623E-02
