   X     Q^2    F2(Pb)DSSZ  S(F2(Pb)DSSZ) statDSSZ   systDSSZ
 ----------------------------------------------------------------
0.0310  4.50 0.339129E+00 0.100866E-01 0.911638E-02 0.802242E-02
0.0500  8.50 0.365308E+00 0.929190E-02 0.765043E-02 0.726790E-02
0.0790 13.60 0.371958E+00 0.107146E-01 0.597523E-02 0.672214E-02
0.1230 18.10 0.358021E+00 0.108586E-01 0.649704E-02 0.649704E-02
0.1730 21.30 0.309789E+00 0.899336E-02 0.667517E-02 0.546150E-02
0.2440 24.70 0.257967E+00 0.706561E-02 0.522402E-02 0.472649E-02
0.3420 30.00 0.164965E+00 0.456051E-02 0.506242E-02 0.296762E-02
0.4430 34.40 0.102704E+00 0.288007E-02 0.482936E-02 0.193174E-02
0.5630 40.40 0.441712E-01 0.115138E-02 0.465982E-02 0.825176E-03
0.0150  4.50 0.331877E+00 0.142321E-01 0.851959E-02 0.890685E-02
0.0310  3.30 0.333581E+00 0.109564E-01 0.450317E-02 0.623516E-02
0.3430 25.80 0.169877E+00 0.471390E-02 0.370833E-02 0.194246E-02
0.4440 36.00 0.101711E+00 0.284945E-02 0.360603E-02 0.137878E-02
0.6120 46.40 0.292033E-01 0.776873E-03 0.136791E-02 0.413555E-03
