   X     Q^2  F2pbeps09S(F2pbeps09) F2Aeps09 S(F2Apbeps09) factoreps09 erfactoreps09 F2pbdssz S(F2pbdssz) F2Adssz S(F2Adssz) factordssz erfactordssz
0.0055 1.000 0.221868E+00 0.218018E-01 0.291530E+00 0.210594E-01 0.243902E+00 0.200327E-01 0.207077E+00 0.282729E-01 0.299660E+00 0.620382E-02 0.221465E+00 0.300875E-01
0.0085 1.400 0.246906E+00 0.160317E-01 0.311970E+00 0.132059E-01 0.265520E+00 0.159326E-01 0.243787E+00 0.223514E-01 0.317663E+00 0.476628E-02 0.257467E+00 0.234072E-01
0.0125 1.800 0.267596E+00 0.118947E-01 0.324997E+00 0.838438E-02 0.282942E+00 0.124469E-01 0.268934E+00 0.182584E-01 0.328424E+00 0.378880E-02 0.281389E+00 0.188736E-01
0.0175 2.300 0.291987E+00 0.833889E-02 0.338287E+00 0.589038E-02 0.304325E+00 0.887084E-02 0.292008E+00 0.151924E-01 0.339728E+00 0.311788E-02 0.303055E+00 0.155825E-01
0.0250 2.800 0.311121E+00 0.693765E-02 0.346422E+00 0.501212E-02 0.320196E+00 0.677872E-02 0.310680E+00 0.123420E-01 0.346427E+00 0.254837E-02 0.319737E+00 0.126509E-01
0.0350 3.600 0.333817E+00 0.803920E-02 0.357010E+00 0.426372E-02 0.339650E+00 0.652813E-02 0.332206E+00 0.103065E-01 0.356233E+00 0.223196E-02 0.338749E+00 0.106105E-01
0.0450 4.200 0.347293E+00 0.771805E-02 0.361728E+00 0.383608E-02 0.350230E+00 0.620406E-02 0.345917E+00 0.995326E-02 0.360619E+00 0.235367E-02 0.349916E+00 0.101999E-01
0.0550 4.800 0.357236E+00 0.684051E-02 0.364665E+00 0.361238E-02 0.357812E+00 0.583312E-02 0.353651E+00 0.100912E-01 0.363065E+00 0.260322E-02 0.355782E+00 0.102505E-01
0.0700 6.000 0.366473E+00 0.589320E-02 0.366195E+00 0.344248E-02 0.364500E+00 0.561313E-02 0.361520E+00 0.107860E-01 0.364606E+00 0.312632E-02 0.361141E+00 0.107488E-01
0.0900 7.200 0.362264E+00 0.558245E-02 0.360244E+00 0.412350E-02 0.359143E+00 0.520611E-02 0.361170E+00 0.114930E-01 0.359746E+00 0.377503E-02 0.358555E+00 0.112131E-01
0.1250 9.200 0.342126E+00 0.579413E-02 0.341867E+00 0.381832E-02 0.339175E+00 0.553348E-02 0.346252E+00 0.113083E-01 0.342867E+00 0.445130E-02 0.342264E+00 0.107521E-01
0.175012.000 0.305984E+00 0.463438E-02 0.309819E+00 0.331021E-02 0.302761E+00 0.475388E-02 0.309969E+00 0.962946E-02 0.308809E+00 0.459903E-02 0.307707E+00 0.886578E-02
0.250017.000 0.244168E+00 0.434842E-02 0.250873E+00 0.337574E-02 0.244474E+00 0.388253E-02 0.246233E+00 0.739706E-02 0.249136E+00 0.427038E-02 0.248260E+00 0.653864E-02
0.350023.000 0.160003E+00 0.298018E-02 0.171908E+00 0.231421E-02 0.163379E+00 0.339858E-02 0.164991E+00 0.516605E-02 0.170047E+00 0.348180E-02 0.170316E+00 0.464685E-02
0.450029.000 0.912593E-01 0.225623E-02 0.102706E+00 0.187192E-02 0.956472E-01 0.298405E-02 0.975782E-01 0.305616E-02 0.102150E+00 0.248328E-02 0.102826E+00 0.299856E-02
0.550033.000 0.450130E-01 0.148902E-02 0.530604E-01 0.135353E-02 0.482660E-01 0.213736E-02 0.486056E-01 0.213989E-02 0.520278E-01 0.176709E-02 0.531526E-01 0.196591E-02
0.650039.000 0.182980E-01 0.688225E-03 0.222779E-01 0.661727E-03 0.198665E-01 0.103082E-02 0.207662E-01 0.447319E-03 0.225350E-01 0.812778E-03 0.222892E-01 0.824888E-03
