   X     Q^2    y  F2(Pb)DSSZ  S(F2(Pb)DSSZ) statDSSZ   systDSSZ
 --------------------------------------------------------------------
0.0350   8.0  0.62 0.369585E+00 0.915893E-02 0.418686E-02 0.494810E-02
0.0450   9.8  0.59 0.378742E+00 0.905228E-02 0.463292E-02 0.579115E-02
0.0550  11.6  0.57 0.386463E+00 0.952912E-02 0.502402E-02 0.502402E-02
0.3500  45.3  0.35 0.152152E+00 0.479397E-02 0.247654E-02 0.402437E-02
0.4500  52.9  0.32 0.920420E-01 0.290112E-02 0.253659E-02 0.326133E-02
0.5500  58.2  0.29 0.400580E-01 0.164130E-02 0.192243E-02 0.259304E-02
0.7000  63.9  0.25 0.109762E-01 0.230918E-03 0.791180E-03 0.991761E-03
