   x        Q**2      y      F2(C)/F2(D)  stat.      syst.
----------------------------------------------------------------------
 0.00015    0.035   0.65       0.826      0.088      0.033
 0.00030    0.072   0.65       0.906      0.057      0.027
 0.00048    0.110   0.64       0.870      0.060      0.026
 0.00067    0.16    0.64       0.799      0.045      0.025
 0.00090    0.22    0.67       0.854      0.041      0.034
 0.0015     0.36    0.63       0.852      0.018      0.033
 0.0035     0.70    0.61       0.899      0.010      0.017  
 0.0055     1.1     0.56       0.904      0.008      0.010  
 0.0085     1.6     0.53       0.939      0.008      0.008  
 0.0125     2.2     0.50       0.939      0.006      0.006  
 0.0175     2.9     0.46       0.957      0.007      0.006  
 0.025      3.6     0.40       0.963      0.006      0.006  
 0.035      4.5     0.36       0.990      0.007      0.005  
 0.045      5.5     0.34       0.983      0.008      0.005  
 0.055      6.4     0.32       1.011      0.009      0.005  
 0.070      7.8     0.31       1.021      0.007      0.005  
 0.090      9.6     0.30       1.028      0.009      0.005  
 0.125     12.0     0.28       1.032      0.007      0.005  
 0.175     15.0     0.27       1.011      0.010      0.005  
 0.25      20.0     0.23       1.010      0.010      0.005  
 0.35      27.0     0.21       0.971      0.015      0.005  
 0.45      32.0     0.20       0.975      0.024      0.005  
 0.55      37.0     0.17       0.925      0.037      0.011  
 0.65      41.0     0.14       0.873      0.052      0.006 
