   x        Q**2      y      F2(Li)/F2(D) stat.      syst.
----------------------------------------------------------------------
 0.00014    0.034   0.64       0.935      0.066      0.021  
 0.00028    0.066   0.65       0.922      0.051      0.030  
 0.00045    0.11    0.64       0.865      0.038      0.022  
 0.00067    0.15    0.61       0.897      0.036      0.016  
 0.0009     0.21    0.67       0.894      0.027      0.021  
 0.0015     0.34    0.63       0.888      0.012      0.022  
 0.0035     0.61    0.61       0.921      0.009      0.010  
 0.0055     1.0     0.56       0.947      0.008      0.008  
 0.0085     1.4     0.51       0.951      0.009      0.006  
 0.0125     1.8     0.47       0.980      0.008      0.006  
 0.0175     2.3     0.41       0.992      0.009      0.005  
 0.025      2.8     0.36       0.994      0.007      0.005  
 0.035      3.6     0.31       0.971      0.008      0.005  
 0.045      4.2     0.28       0.997      0.010      0.005  
 0.055      4.8     0.27       0.986      0.011      0.005  
 0.070      6.0     0.25       1.003      0.010      0.005  
 0.090      7.2     0.24       1.004      0.012      0.005  
 0.125      9.2     0.23       1.009      0.010      0.005  
 0.175     12.0     0.23       1.002      0.014      0.005  
 0.25      17.0     0.22       0.992      0.015      0.005  
 0.35      23.0     0.21       0.990      0.027      0.005  
 0.45      29.0     0.20       0.910      0.043      0.005  
 0.55      33.0     0.15       0.988      0.082      0.006  
 0.65      39.0     0.13       0.801      0.108      0.014  
