  x       Q^2    y     F2(Fe)/F2(C)    stat.    syst.
------------------------------------------------------
0.0125	  3.4	0.73	  0.924       0.021     0.036
0.0175	  4.5	0.70	  0.965       0.017     0.020
0.025	  6.1	0.66	  0.951       0.011     0.014
0.035	  8.1	0.63	  0.977       0.011     0.014
0.045	 10.0	0.60	  0.973       0.011     0.013
0.055	 11.8	0.58	  0.999       0.011     0.014
0.07	 14.1	0.55	  1.010       0.009     0.010
0.09	 17.1	0.52	  0.981       0.009     0.011
0.125	 21.7	0.48	  1.019       0.007     0.009
0.175	 27.8	0.43	  0.997       0.009     0.010
0.25	 35.7	0.39	  1.001       0.009     0.010
0.35	 45.4	0.35	  0.990       0.014     0.015
0.45	 53.6	0.32	  0.931       0.022     0.026
0.55	 60.3	0.30	  0.972       0.041     0.044
0.7	 66.6	0.26      0.965       0.063     0.069
