 F2D     2       15
   1   DIS_F2D   0.125000000000000E-01   0.220000000000000E+01   0.500000000000000E+00   0.283912000000000E+00   0.181414000000000E-02   0.181414000000000E-02   0.638979683845699E+00   0.176882000000000E-01   0.623016991180366E+01
   2   DIS_F2D   0.175000000000000E-01   0.290000000000000E+01   0.460000000000000E+00   0.310626000000000E+00   0.227208000000000E-02   0.194750000000000E-02   0.626959752242246E+00   0.147251000000000E-01   0.474045958805766E+01
   3   DIS_F2D   0.250000000000000E-01   0.360000000000000E+01   0.400000000000000E+00   0.326446000000000E+00   0.203393000000000E-02   0.203393000000000E-02   0.623052510981908E+00   0.119218000000000E-01   0.365199757387133E+01
   4   DIS_F2D   0.350000000000000E-01   0.450000000000000E+01   0.360000000000000E+00   0.349097000000000E+00   0.246837000000000E-02   0.176312000000000E-02   0.505051604568358E+00   0.102078000000000E-01   0.292405835627347E+01
   5   DIS_F2D   0.450000000000000E-01   0.550000000000000E+01   0.340000000000000E+00   0.356638000000000E+00   0.290245000000000E-02   0.181403000000000E-02   0.508647423998564E+00   0.978578000000000E-02   0.274389717304381E+01
   6   DIS_F2D   0.550000000000000E-01   0.640000000000000E+01   0.320000000000000E+00   0.370582000000000E+00   0.329895000000000E-02   0.183275000000000E-02   0.494559908468301E+00   0.101639000000000E-01   0.274268582931713E+01
   7   DIS_F2D   0.700000000000000E-01   0.780000000000000E+01   0.310000000000000E+00   0.375329000000000E+00   0.257326000000000E-02   0.183805000000000E-02   0.489717021599716E+00   0.108363000000000E-01   0.288714700969016E+01
   8   DIS_F2D   0.900000000000000E-01   0.960000000000000E+01   0.300000000000000E+00   0.372286000000000E+00   0.325931000000000E-02   0.181073000000000E-02   0.486381437926755E+00   0.113495000000000E-01   0.304859704635683E+01
   9   DIS_F2D   0.125000000000000E+00   0.120000000000000E+02   0.280000000000000E+00   0.352921000000000E+00   0.239384000000000E-02   0.170989000000000E-02   0.484496530384987E+00   0.109098000000000E-01   0.309128671855741E+01
  10   DIS_F2D   0.175000000000000E+00   0.150000000000000E+02   0.270000000000000E+00   0.308509000000000E+00   0.305152000000000E-02   0.152576000000000E-02   0.494559315935678E+00   0.882361000000000E-02   0.286008187767618E+01
  11   DIS_F2D   0.250000000000000E+00   0.200000000000000E+02   0.230000000000000E+00   0.247760000000000E+00   0.245307000000000E-02   0.122653000000000E-02   0.495047626735551E+00   0.651720000000000E-02   0.263044882144010E+01
  12   DIS_F2D   0.350000000000000E+00   0.270000000000000E+02   0.210000000000000E+00   0.162490000000000E+00   0.251015000000000E-02   0.836717000000000E-03   0.514934457505077E+00   0.439005000000000E-02   0.270173549141486E+01
  13   DIS_F2D   0.450000000000000E+00   0.320000000000000E+02   0.200000000000000E+00   0.988270000000000E-01   0.243266000000000E-02   0.506805000000000E-03   0.512820383093689E+00   0.281268000000000E-02   0.284606433464539E+01
  14   DIS_F2D   0.550000000000000E+00   0.370000000000000E+02   0.170000000000000E+00   0.482048000000000E-01   0.192819000000000E-02   0.573246000000000E-03   0.118918862851832E+01   0.170491000000000E-02   0.353680546335635E+01
  15   DIS_F2D   0.650000000000000E+00   0.410000000000000E+02   0.140000000000000E+00   0.192455000000000E-01   0.114635000000000E-02   0.132271000000000E-03   0.687282741420072E+00   0.665146000000000E-03   0.345611181834715E+01
